VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,377.000,11528.000,53.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.667,0.068,0.030
1,1,495.000,11285.000,-130.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.639,0.087,0.102
2,2,572.000,11467.000,76.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.749,0.101,0.043
3,3,0.000,11216.000,-303.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.010,0.123
4,4,280.000,11280.000,-267.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.588,0.051,0.104
5,5,223.000,11400.000,-163.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.569,0.041,0.079
6,4,280.000,11280.000,-267.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.588,0.051,0.104
7,1,495.000,11285.000,-130.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.639,0.087,0.102
8,0,377.000,11528.000,53.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.667,0.068,0.030
9,0,377.000,11528.000,53.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.667,0.068,0.030
10,5,223.000,11400.000,-163.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.569,0.041,0.079
11,4,280.000,11280.000,-267.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.588,0.051,0.104
12,6,0.000,11749.000,360.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.983,0.044
13,7,285.000,11687.000,303.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.741,0.948,0.050
14,8,484.000,11470.000,441.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.919,0.120
15,8,484.000,11470.000,441.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.919,0.120
16,9,0.000,11489.000,527.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.983,0.114
17,6,0.000,11749.000,360.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.983,0.044
18,4,280.000,11280.000,-267.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.588,0.051,0.104
19,3,0.000,11216.000,-303.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.010,0.123
20,10,0.000,11040.000,-424.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.010,0.175
21,10,0.000,11040.000,-424.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.010,0.175
22,11,417.000,11115.000,-364.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.573,0.074,0.153
23,4,280.000,11280.000,-267.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.588,0.051,0.104
24,1,495.000,11285.000,-130.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.639,0.087,0.102
25,4,280.000,11280.000,-267.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.588,0.051,0.104
26,11,417.000,11115.000,-364.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.573,0.074,0.153
27,11,417.000,11115.000,-364.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.573,0.074,0.153
28,12,630.000,11236.000,-191.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.109,0.117
29,1,495.000,11285.000,-130.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.639,0.087,0.102
30,7,285.000,11687.000,303.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.741,0.948,0.050
