VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-425.000,12724.000,-708.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.299,0.337
1,1,-482.000,12404.000,-451.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.086,0.261,0.453
2,2,-236.000,12508.000,-763.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.337,0.438
3,3,-497.000,12920.000,-529.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.055,0.284,0.189
4,1,-482.000,12404.000,-451.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.086,0.261,0.453
5,0,-425.000,12724.000,-708.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.299,0.337
6,0,-425.000,12724.000,-708.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.299,0.337
7,4,-352.000,13001.000,-738.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.176,0.327,0.203
8,3,-497.000,12920.000,-529.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.055,0.284,0.189
9,4,-352.000,13001.000,-738.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.176,0.327,0.203
10,0,-425.000,12724.000,-708.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.299,0.337
11,5,-74.000,13032.000,-933.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.353,0.394,0.231
12,6,-236.000,12508.000,-763.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.339,0.438
13,5,-74.000,13032.000,-933.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.353,0.394,0.231
14,0,-425.000,12724.000,-708.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.299,0.337
15,7,-346.000,13182.000,-530.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.192,0.312,0.109
16,3,-497.000,12920.000,-529.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.055,0.284,0.189
17,4,-352.000,13001.000,-738.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.176,0.327,0.203
18,4,-352.000,13001.000,-738.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.176,0.327,0.203
19,8,-154.000,13296.000,-663.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.365,0.362,0.079
20,7,-346.000,13182.000,-530.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.192,0.312,0.109
21,8,-154.000,13296.000,-663.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.365,0.362,0.079
22,4,-352.000,13001.000,-738.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.176,0.327,0.203
23,9,89.000,13276.000,-767.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.651,0.423,0.093
24,5,-74.000,13032.000,-933.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.353,0.394,0.231
25,9,89.000,13276.000,-767.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.651,0.423,0.093
26,4,-352.000,13001.000,-738.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.176,0.327,0.203
27,8,-154.000,13296.000,-663.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.365,0.362,0.079
28,10,-39.000,13332.000,-480.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.467,0.379,0.021
29,7,-346.000,13182.000,-530.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.192,0.312,0.109
30,10,-39.000,13332.000,-480.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.467,0.379,0.021
31,8,-154.000,13296.000,-663.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.365,0.362,0.079
32,11,229.000,13242.000,-604.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.784,0.440,0.018
33,9,89.000,13276.000,-767.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.651,0.423,0.093
34,11,229.000,13242.000,-604.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.784,0.440,0.018
35,8,-154.000,13296.000,-663.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.365,0.362,0.079
36,12,-44.000,13440.000,-210.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.463,0.620,0.809
37,13,-400.000,13315.000,-144.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.188,0.565,0.798
38,14,-346.000,13182.000,-530.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.192,0.564,0.903
39,14,-346.000,13182.000,-530.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.192,0.564,0.903
40,15,-39.000,13332.000,-480.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.467,0.621,0.898
41,12,-44.000,13440.000,-210.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.463,0.620,0.809
42,16,250.000,13384.000,-213.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.741,0.677,0.817
43,12,-44.000,13440.000,-210.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.463,0.620,0.809
44,15,-39.000,13332.000,-480.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.467,0.621,0.898
45,15,-39.000,13332.000,-480.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.467,0.621,0.898
46,17,229.000,13242.000,-604.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.784,0.674,0.905
47,16,250.000,13384.000,-213.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.741,0.677,0.817
48,18,-39.000,13409.000,211.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.510,0.627,0.677
49,19,-387.000,13334.000,185.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.212,0.569,0.687
50,13,-400.000,13315.000,-144.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.188,0.565,0.798
51,13,-400.000,13315.000,-144.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.188,0.565,0.798
