VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,1092.000,5407.000,-219.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.199,0.105
1,1,1420.000,5485.000,-480.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.514,0.259,0.095
2,2,1363.000,5863.000,-611.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.424,0.258,0.014
3,2,1363.000,5863.000,-611.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.424,0.258,0.014
4,3,960.000,5794.000,-333.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.149,0.199,0.020
5,0,1092.000,5407.000,-219.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.199,0.105
6,4,985.000,5300.000,6.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.157,0.127
7,0,1092.000,5407.000,-219.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.199,0.105
8,3,960.000,5794.000,-333.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.149,0.199,0.020
9,3,960.000,5794.000,-333.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.149,0.199,0.020
10,5,823.000,5730.000,6.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.148,0.035
11,4,985.000,5300.000,6.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.157,0.127
12,1,1420.000,5485.000,-480.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.514,0.259,0.095
13,6,1820.000,5562.000,-197.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.330,0.095
14,7,1826.000,5922.000,-254.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.898,0.331,0.020
15,7,1826.000,5922.000,-254.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.898,0.331,0.020
16,2,1363.000,5863.000,-611.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.424,0.258,0.014
17,1,1420.000,5485.000,-480.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.514,0.259,0.095
18,8,1083.000,3886.000,102.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.055,0.152,0.421
19,9,1589.000,3962.000,-245.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.482,0.252,0.415
20,1,1420.000,5485.000,-480.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.514,0.259,0.095
21,1,1420.000,5485.000,-480.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.514,0.259,0.095
22,0,1092.000,5407.000,-219.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.199,0.105
23,8,1083.000,3886.000,102.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.055,0.152,0.421
24,0,1092.000,5407.000,-219.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.199,0.105
25,4,985.000,5300.000,6.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.157,0.127
26,8,1083.000,3886.000,102.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.055,0.152,0.421
27,9,1589.000,3962.000,-245.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.482,0.252,0.415
28,10,2157.000,4203.000,28.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.922,0.357,0.386
29,6,1820.000,5562.000,-197.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.330,0.095
