VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-2195.000,11300.000,-345.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.710,0.535,0.204
1,1,-1998.000,12185.000,-263.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.529,0.672,0.115
2,2,-2525.000,11594.000,-444.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.459,0.638,0.208
3,1,-1998.000,12185.000,-263.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.529,0.672,0.115
4,0,-2195.000,11300.000,-345.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.710,0.535,0.204
5,3,-1790.000,11905.000,-192.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.831,0.582,0.118
6,4,-2944.000,11848.000,113.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.094,0.826,0.229
7,5,-2183.000,12366.000,-95.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.255,0.767,0.125
8,6,-2315.000,12424.000,142.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.157,0.858,0.134
9,5,-2183.000,12366.000,-95.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.255,0.767,0.125
10,4,-2944.000,11848.000,113.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.094,0.826,0.229
11,7,-2823.000,11798.000,-272.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.727,0.220
12,1,-1998.000,12185.000,-263.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.529,0.672,0.115
13,7,-2823.000,11798.000,-272.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.727,0.220
14,2,-2525.000,11594.000,-444.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.459,0.638,0.208
15,7,-2823.000,11798.000,-272.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.727,0.220
16,1,-1998.000,12185.000,-263.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.529,0.672,0.115
17,5,-2183.000,12366.000,-95.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.255,0.767,0.125
