VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-1450.000,8735.000,-87.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.872,0.830
1,1,-994.000,9323.000,450.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.110,0.697,0.620
2,2,-1138.000,8861.000,606.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.157,0.826,0.615
3,1,-994.000,9323.000,450.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.110,0.697,0.620
4,0,-1450.000,8735.000,-87.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.872,0.830
5,3,-1246.000,9182.000,-52.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.684,0.830
6,2,-1138.000,8861.000,606.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.157,0.826,0.615
7,4,-505.000,9365.000,762.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.710,0.339
8,5,-561.000,8942.000,941.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.353,0.820,0.339
9,4,-505.000,9365.000,762.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.710,0.339
10,2,-1138.000,8861.000,606.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.157,0.826,0.615
11,1,-994.000,9323.000,450.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.110,0.697,0.620
12,6,-2.000,8942.000,992.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.498,0.825,0.085
13,4,-505.000,9365.000,762.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.710,0.339
14,7,-2.000,9393.000,822.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.718,0.089
15,8,-624.000,8234.000,1051.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.369,0.897,0.339
16,9,-3.000,10030.000,1542.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.979,0.078
17,10,-883.000,10069.000,1482.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.384,0.981,0.339
18,11,2275.000,10163.000,-52.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.985,0.824
19,12,1757.000,10088.000,1102.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.804,0.984,0.610
20,13,1194.000,8401.000,706.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.863,0.891,0.613
21,14,989.000,9323.000,450.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.890,0.697,0.620
22,15,1241.000,9182.000,-52.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.953,0.684,0.830
23,16,1444.000,8737.000,-87.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.973,0.872,0.830
24,12,1757.000,10088.000,1102.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.804,0.984,0.610
