VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
1,1,597.000,11026.000,794.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.620,0.878,0.530
2,2,0.000,11012.000,828.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.547
3,2,0.000,11012.000,828.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.547
4,3,0.000,11782.000,954.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.284
5,0,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
6,4,0.000,12551.000,951.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.144
7,5,874.000,12556.000,923.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.565,0.855,0.159
8,0,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
9,0,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
10,3,0.000,11782.000,954.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.284
11,4,0.000,12551.000,951.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.144
12,6,650.000,13369.000,306.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.878,0.870,0.041
13,7,1311.000,13116.000,340.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.596,0.784,0.051
14,8,881.000,13046.000,670.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.612,0.796,0.091
15,9,0.000,13233.000,729.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.051
16,10,431.000,13268.000,657.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.671,0.926,0.056
17,11,881.000,13046.000,670.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.612,0.904,0.087
18,9,0.000,13233.000,729.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.051
19,11,881.000,13046.000,670.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.612,0.904,0.087
20,12,0.000,12942.000,844.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.090
21,13,1462.000,12998.000,665.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.545,0.728,0.100
22,14,1798.000,12843.000,688.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.714,0.687,0.117
23,15,1474.000,12689.000,848.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.525,0.723,0.130
24,8,881.000,13046.000,670.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.612,0.796,0.091
25,16,1132.000,12991.000,637.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.541,0.770,0.091
26,17,1151.000,12570.000,853.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.518,0.776,0.159
27,17,1151.000,12570.000,853.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.518,0.776,0.159
28,5,874.000,12556.000,923.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.565,0.855,0.159
29,8,881.000,13046.000,670.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.612,0.796,0.091
30,5,874.000,12556.000,923.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.565,0.855,0.159
31,17,1151.000,12570.000,853.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.518,0.776,0.159
32,0,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
33,18,0.000,10564.000,723.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.698
34,2,0.000,11012.000,828.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.547
35,1,597.000,11026.000,794.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.620,0.878,0.530
36,1,597.000,11026.000,794.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.620,0.878,0.530
37,19,474.000,10497.000,643.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.655,0.896,0.693
38,18,0.000,10564.000,723.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.994,0.698
39,20,1092.000,10984.000,495.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.779,0.550
40,21,951.000,10464.000,376.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.871,0.800,0.667
41,19,474.000,10497.000,643.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.655,0.896,0.693
42,19,474.000,10497.000,643.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.655,0.896,0.693
43,1,597.000,11026.000,794.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.620,0.878,0.530
44,20,1092.000,10984.000,495.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.779,0.550
45,21,951.000,10464.000,376.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.871,0.800,0.667
46,20,1092.000,10984.000,495.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.779,0.550
47,22,1211.000,10845.000,16.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.988,0.689,0.508
48,22,1211.000,10845.000,16.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.988,0.689,0.508
49,23,1191.000,10338.000,-62.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.691,0.648
50,21,951.000,10464.000,376.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.871,0.800,0.667
51,24,1567.000,13077.000,263.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.624,0.697,0.051
52,25,1906.000,12931.000,227.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.800,0.647,0.058
53,14,1798.000,12843.000,688.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.714,0.687,0.117
54,14,1798.000,12843.000,688.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.714,0.687,0.117
55,13,1462.000,12998.000,665.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.545,0.728,0.100
56,24,1567.000,13077.000,263.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.624,0.697,0.051
57,17,1151.000,12570.000,853.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.518,0.776,0.159
58,26,1322.000,12082.000,877.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.584,0.775,0.221
59,0,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
60,20,1092.000,10984.000,495.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.779,0.550
61,27,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
62,28,1479.000,11860.000,629.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.698,0.715,0.258
63,27,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
64,20,1092.000,10984.000,495.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.779,0.550
65,1,597.000,11026.000,794.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.620,0.878,0.530
66,26,1322.000,12082.000,877.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.584,0.775,0.221
67,28,1479.000,11860.000,629.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.698,0.715,0.258
68,27,892.000,11841.000,899.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.600,0.852,0.273
69,20,1092.000,10984.000,495.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.779,0.550
70,28,1479.000,11860.000,629.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.698,0.715,0.258
71,29,1434.000,11732.000,126.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.839,0.691,0.317
