VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-2.000,13533.000,-860.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.507,0.767
1,1,-127.000,13807.000,-875.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.384,0.558,0.657
2,2,-194.000,13542.000,-829.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.571,0.764
3,3,-69.000,14041.000,-1085.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.141,0.531,0.564
4,4,-2.000,13986.000,-969.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.508,0.587
5,5,-2.000,14044.000,-1100.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.508,0.563
6,2,-194.000,13542.000,-829.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.571,0.764
7,6,-397.000,13815.000,-634.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.067,0.677,0.654
8,7,-327.000,13623.000,-570.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.090,0.665,0.730
9,5,-2.000,14044.000,-1100.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.508,0.563
10,8,-53.000,14399.000,-973.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.533,0.419
11,3,-69.000,14041.000,-1085.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.141,0.531,0.564
12,9,-103.000,14379.000,-903.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.192,0.552,0.428
13,3,-69.000,14041.000,-1085.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.141,0.531,0.564
14,8,-53.000,14399.000,-973.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.533,0.419
15,10,-324.000,14055.000,-830.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.627,0.552
16,11,-508.000,14250.000,-682.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.063,0.693,0.471
17,12,-493.000,14075.000,-673.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.063,0.694,0.549
18,13,-523.000,14368.000,-691.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.106,0.695,0.420
19,14,-329.000,14210.000,-835.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.255,0.625,0.488
20,15,-299.000,14377.000,-817.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.259,0.616,0.422
21,8,-53.000,14399.000,-973.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.533,0.419
22,16,-288.000,14545.000,-982.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.282,0.594,0.352
23,9,-103.000,14379.000,-903.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.192,0.552,0.428
24,16,-288.000,14545.000,-982.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.282,0.594,0.352
25,8,-53.000,14399.000,-973.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.533,0.419
26,17,-2.000,14517.000,-1038.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.498,0.507,0.361
27,15,-299.000,14377.000,-817.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.259,0.616,0.422
28,18,-515.000,14583.000,-781.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.098,0.676,0.331
29,13,-523.000,14368.000,-691.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.106,0.695,0.420
30,18,-515.000,14583.000,-781.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.098,0.676,0.331
31,15,-299.000,14377.000,-817.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.259,0.616,0.422
32,16,-288.000,14545.000,-982.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.282,0.594,0.352
33,17,-2.000,14517.000,-1038.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.498,0.507,0.361
