VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-2489.000,6217.000,129.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.544,0.013
1,1,-2886.000,4770.000,413.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.012,0.462,0.307
2,2,-2506.000,4507.000,-467.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.371,0.314
3,3,-2293.000,5487.000,-517.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.247,0.416,0.184
4,2,-2506.000,4507.000,-467.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.371,0.314
5,4,-1610.000,4267.000,-536.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.678,0.155,0.330
6,5,-1976.000,6280.000,912.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.704,0.018
7,6,-2304.000,4906.000,1347.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.682,0.292
8,7,-2886.000,4770.000,413.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.012,0.562,0.307
9,8,-1145.000,5853.000,242.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.939,0.031
10,9,-1133.000,4390.000,350.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.860,0.319
11,10,-1475.000,4713.000,1239.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.783,0.300
12,11,-1145.000,5853.000,242.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.041,0.037
13,12,-1509.000,5278.000,-557.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.131,0.175
14,13,-1133.000,4390.000,350.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.043,0.317
15,12,-1509.000,5278.000,-557.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.131,0.175
16,14,-1391.000,5771.000,-772.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.725,0.134,0.093
17,15,-2259.000,6049.000,-752.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.231,0.397,0.074
18,3,-2293.000,5487.000,-517.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.247,0.416,0.184
19,15,-2259.000,6049.000,-752.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.231,0.397,0.074
20,0,-2489.000,6217.000,129.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.544,0.013
21,16,-1396.000,6113.000,791.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.842,0.017
22,17,-1475.000,4713.000,1239.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.781,0.298
23,6,-2304.000,4906.000,1347.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.682,0.292
24,7,-2886.000,4770.000,413.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.012,0.562,0.307
25,6,-2304.000,4906.000,1347.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.682,0.292
26,18,-2981.000,3514.000,563.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.534,0.501
27,6,-2304.000,4906.000,1347.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.682,0.292
28,19,-1926.000,3097.000,1164.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.788,0.682,0.550
29,20,-2522.000,3346.000,1243.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.615,0.529
30,21,-1634.000,2974.000,518.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.759,0.549
31,10,-1475.000,4713.000,1239.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.783,0.300
32,9,-1133.000,4390.000,350.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.860,0.319
33,22,-2719.000,3257.000,-289.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.273,0.523
34,2,-2506.000,4507.000,-467.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.371,0.314
35,1,-2886.000,4770.000,413.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.012,0.462,0.307
36,4,-1610.000,4267.000,-536.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.678,0.155,0.330
37,2,-2506.000,4507.000,-467.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.371,0.314
38,23,-1971.000,2944.000,-355.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.737,0.144,0.541
39,18,-2981.000,3514.000,563.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.534,0.501
40,20,-2522.000,3346.000,1243.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.615,0.529
41,24,-2990.000,1962.000,701.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.527,0.744
42,25,-2634.000,1914.000,1206.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.349,0.586,0.745
43,24,-2990.000,1962.000,701.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.527,0.744
44,20,-2522.000,3346.000,1243.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.615,0.529
45,20,-2522.000,3346.000,1243.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.615,0.529
46,26,-2068.000,1824.000,1130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.812,0.655,0.745
47,25,-2634.000,1914.000,1206.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.349,0.586,0.745
48,27,-2981.000,3514.000,563.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.371,0.518
49,28,-2990.000,1962.000,701.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.288,0.754
50,29,-2853.000,1855.000,-85.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.214,0.754
51,30,-1634.000,2974.000,518.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.037,0.547
52,31,-2148.000,1777.000,-203.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.749,0.106,0.753
53,32,-1855.000,1776.000,531.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.020,0.754
54,23,-1971.000,2944.000,-355.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.737,0.144,0.541
55,31,-2148.000,1777.000,-203.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.749,0.106,0.753
56,30,-1634.000,2974.000,518.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.037,0.547
57,27,-2981.000,3514.000,563.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.371,0.518
58,29,-2853.000,1855.000,-85.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.214,0.754
59,22,-2719.000,3257.000,-289.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.273,0.523
60,21,-1634.000,2974.000,518.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.759,0.549
61,33,-1855.000,1776.000,531.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.715,0.744
62,34,-1926.000,3097.000,1164.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.788,0.684,0.552
63,13,-1133.000,4390.000,350.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.043,0.317
64,23,-1971.000,2944.000,-355.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.737,0.144,0.541
65,30,-1634.000,2974.000,518.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.037,0.547
66,23,-1971.000,2944.000,-355.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.737,0.144,0.541
67,13,-1133.000,4390.000,350.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.043,0.317
68,4,-1610.000,4267.000,-536.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.678,0.155,0.330
69,22,-2719.000,3257.000,-289.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.273,0.523
70,31,-2148.000,1777.000,-203.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.749,0.106,0.753
71,23,-1971.000,2944.000,-355.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.737,0.144,0.541
72,22,-2719.000,3257.000,-289.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.273,0.523
73,29,-2853.000,1855.000,-85.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.214,0.754
74,31,-2148.000,1777.000,-203.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.749,0.106,0.753
75,21,-1634.000,2974.000,518.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.759,0.549
76,34,-1926.000,3097.000,1164.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.788,0.684,0.552
77,10,-1475.000,4713.000,1239.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.783,0.300
78,19,-1926.000,3097.000,1164.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.788,0.682,0.550
79,6,-2304.000,4906.000,1347.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.682,0.292
80,17,-1475.000,4713.000,1239.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.781,0.298
81,34,-1926.000,3097.000,1164.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.788,0.684,0.552
82,33,-1855.000,1776.000,531.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.715,0.744
83,35,-2068.000,1824.000,1130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.812,0.656,0.745
84,19,-1926.000,3097.000,1164.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.788,0.682,0.550
85,26,-2068.000,1824.000,1130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.812,0.655,0.745
86,20,-2522.000,3346.000,1243.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.615,0.529
87,3,-2293.000,5487.000,-517.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.247,0.416,0.184
88,12,-1509.000,5278.000,-557.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.131,0.175
89,15,-2259.000,6049.000,-752.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.231,0.397,0.074
90,12,-1509.000,5278.000,-557.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.131,0.175
91,4,-1610.000,4267.000,-536.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.678,0.155,0.330
92,13,-1133.000,4390.000,350.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.043,0.317
93,4,-1610.000,4267.000,-536.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.678,0.155,0.330
94,12,-1509.000,5278.000,-557.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.131,0.175
95,3,-2293.000,5487.000,-517.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.247,0.416,0.184
96,2,-2506.000,4507.000,-467.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.371,0.314
97,3,-2293.000,5487.000,-517.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.247,0.416,0.184
98,0,-2489.000,6217.000,129.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.544,0.013
99,7,-2886.000,4770.000,413.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.012,0.562,0.307
100,36,-2489.000,6217.000,129.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.621,0.020
101,5,-1976.000,6280.000,912.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.704,0.018
102,6,-2304.000,4906.000,1347.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.682,0.292
103,5,-1976.000,6280.000,912.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.704,0.018
104,16,-1396.000,6113.000,791.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.842,0.017
105,17,-1475.000,4713.000,1239.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.781,0.298
106,16,-1396.000,6113.000,791.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.842,0.017
107,37,-1145.000,5853.000,242.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.935,0.028
108,11,-1145.000,5853.000,242.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.041,0.037
109,14,-1391.000,5771.000,-772.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.725,0.134,0.093
110,12,-1509.000,5278.000,-557.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.131,0.175
111,23,-1971.000,2944.000,-355.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.737,0.144,0.541
112,2,-2506.000,4507.000,-467.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.371,0.314
113,22,-2719.000,3257.000,-289.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.273,0.523
114,27,-2981.000,3514.000,563.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.371,0.518
115,22,-2719.000,3257.000,-289.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.273,0.523
116,1,-2886.000,4770.000,413.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.012,0.462,0.307
117,18,-2981.000,3514.000,563.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.534,0.501
118,6,-2304.000,4906.000,1347.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.682,0.292
119,20,-2522.000,3346.000,1243.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.615,0.529
120,38,-2859.000,1297.000,-388.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.188,0.566,0.838
121,39,-3147.000,679.000,0.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.016,0.664,0.906
122,40,-2853.000,1034.000,-707.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.180,0.486,0.867
123,41,-3107.000,432.000,-1604.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.261,0.933
124,42,-2987.000,762.000,-1434.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.282,0.303,0.897
125,43,-3302.000,588.000,-1138.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.078,0.378,0.916
126,44,-2063.000,612.000,-605.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.953,0.398,0.914
127,45,-2018.000,600.000,-172.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.992,0.506,0.915
128,46,-2096.000,1216.000,-335.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.922,0.465,0.847
129,47,-2497.000,430.000,-1890.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.541,0.075,0.934
130,48,-3238.000,0.000,-1729.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.180,0.229,0.990
131,49,-2468.000,2.000,-2059.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.741,0.032,0.989
132,48,-3238.000,0.000,-1729.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.180,0.229,0.990
133,47,-2497.000,430.000,-1890.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.541,0.075,0.934
134,41,-3107.000,432.000,-1604.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.261,0.933
135,50,-3080.000,1386.000,744.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.031,0.851,0.828
136,51,-2718.000,634.000,1255.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.302,0.979,0.911
137,52,-3090.000,757.000,773.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.039,0.858,0.898
138,51,-2718.000,634.000,1255.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.302,0.979,0.911
139,50,-3080.000,1386.000,744.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.031,0.851,0.828
140,53,-2698.000,1204.000,1180.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.310,0.960,0.848
141,53,-2698.000,1204.000,1180.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.310,0.960,0.848
