VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-4448.000,9281.000,-71.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.608,0.624,0.950
1,1,-3217.000,10435.000,-378.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.616,0.592,0.590
2,2,-4792.000,9642.000,-57.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.220,0.522,0.951
3,3,-3673.000,10873.000,-167.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.286,0.503,0.595
4,2,-4792.000,9642.000,-57.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.220,0.522,0.951
5,1,-3217.000,10435.000,-378.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.616,0.592,0.590
6,4,-2258.000,11244.000,-292.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.690,0.672,0.350
7,5,-2140.000,11099.000,151.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.715,0.357
8,6,-1796.000,11905.000,-176.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.812,0.649,0.144
9,7,-2189.000,12366.000,-76.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.251,0.508,0.128
10,8,-2318.000,12424.000,162.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.129,0.476,0.141
11,9,-2995.000,11796.000,169.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.125,0.457,0.379
12,7,-2189.000,12366.000,-76.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.251,0.508,0.128
13,10,-2582.000,11533.000,-383.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.373,0.571,0.354
14,11,-2005.000,12185.000,-246.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.537,0.569,0.129
15,9,-2995.000,11796.000,169.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.125,0.457,0.379
16,12,-3379.000,11303.000,183.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.196,0.489,0.478
17,13,-3158.000,10977.000,-291.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.396,0.564,0.497
18,13,-3158.000,10977.000,-291.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.396,0.564,0.497
19,10,-2582.000,11533.000,-383.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.373,0.571,0.354
20,9,-2995.000,11796.000,169.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.125,0.457,0.379
21,5,-2140.000,11099.000,151.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.715,0.357
22,14,-2881.000,10697.000,-218.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.776,0.640,0.500
23,15,-2658.000,10584.000,242.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.686,0.483
24,13,-3158.000,10977.000,-291.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.396,0.564,0.497
25,4,-2258.000,11244.000,-292.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.690,0.672,0.350
26,10,-2582.000,11533.000,-383.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.373,0.571,0.354
27,1,-3217.000,10435.000,-378.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.616,0.592,0.590
28,13,-3158.000,10977.000,-291.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.396,0.564,0.497
29,3,-3673.000,10873.000,-167.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.286,0.503,0.595
30,16,-2982.000,10111.000,220.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.676,0.615
31,15,-2658.000,10584.000,242.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.686,0.483
