Prim,VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Specular,Fog,TexCoord0[0],TexCoord0[1],TexCoord0[2],TexCoord0[3],TexCoord1[0],TexCoord1[1],TexCoord1[2],TexCoord1[3],TexCoord2[0],TexCoord2[1],TexCoord2[2],TexCoord2[3]
0,0,0,-0.729,-1.298,4.619,5.613,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.624,0.950,0.418,44.709,0.624,0.950,0.418,44.709,0.222,-0.074,0.972,44.709
0,1,1,-0.571,-0.779,4.500,5.494,"D3DCOLOR_ARGB(0xff,0x84,0x84,0x84)","D3DCOLOR_ARGB(0xff,0x19,0x19,0x19)",1.000,0.592,0.590,0.418,44.709,0.592,0.590,0.418,44.709,0.298,0.121,0.947,44.709
0,2,2,-0.843,-1.195,4.637,5.631,"D3DCOLOR_ARGB(0xff,0xe2,0xe2,0xe2)","D3DCOLOR_ARGB(0xff,0x25,0x25,0x25)",1.000,0.522,0.951,0.418,44.709,0.522,0.951,0.418,44.709,0.954,0.253,0.160,44.709
1,3,3,-0.696,-0.641,4.545,5.539,"D3DCOLOR_ARGB(0xff,0xf2,0xf2,0xf2)","D3DCOLOR_ARGB(0xff,0x55,0x55,0x55)",1.000,0.503,0.595,0.418,44.709,0.503,0.595,0.418,44.709,0.884,0.442,0.151,44.709
1,4,2,-0.843,-1.195,4.637,5.631,"D3DCOLOR_ARGB(0xff,0xe2,0xe2,0xe2)","D3DCOLOR_ARGB(0xff,0x25,0x25,0x25)",1.000,0.522,0.951,0.418,44.709,0.522,0.951,0.418,44.709,0.954,0.253,0.160,44.709
1,5,1,-0.571,-0.779,4.500,5.494,"D3DCOLOR_ARGB(0xff,0x84,0x84,0x84)","D3DCOLOR_ARGB(0xff,0x19,0x19,0x19)",1.000,0.592,0.590,0.418,44.709,0.592,0.590,0.418,44.709,0.298,0.121,0.947,44.709
2,6,4,-0.447,-0.483,4.432,5.426,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.672,0.350,0.418,44.709,0.672,0.350,0.418,44.709,0.209,-0.177,0.962,44.709
2,7,5,-0.336,-0.436,4.464,5.458,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.715,0.357,0.418,44.709,0.715,0.357,0.418,44.709,-0.658,-0.249,0.711,44.709
2,8,6,-0.415,-0.217,4.380,5.374,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.649,0.144,0.418,44.709,0.649,0.144,0.418,44.709,-0.093,-0.095,0.991,44.709
3,9,7,-0.542,-0.068,4.404,5.397,"D3DCOLOR_ARGB(0xff,0xe0,0xe0,0xe0)","D3DCOLOR_ARGB(0xff,0x16,0x16,0x16)",1.000,0.508,0.128,0.418,44.709,0.508,0.128,0.418,44.709,0.980,0.194,0.047,44.709
3,10,8,-0.540,-0.009,4.432,5.426,"D3DCOLOR_ARGB(0xff,0xcf,0xcf,0xcf)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.476,0.141,0.418,44.709,0.476,0.141,0.418,44.709,0.586,0.242,-0.773,44.709
3,11,9,-0.602,-0.251,4.511,5.504,"D3DCOLOR_ARGB(0xff,0xdd,0xdd,0xdd)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.457,0.379,0.418,44.709,0.457,0.379,0.418,44.709,0.787,0.222,-0.575,44.709
4,12,7,-0.542,-0.068,4.404,5.397,"D3DCOLOR_ARGB(0xff,0xe0,0xe0,0xe0)","D3DCOLOR_ARGB(0xff,0x16,0x16,0x16)",1.000,0.508,0.128,0.418,44.709,0.508,0.128,0.418,44.709,0.980,0.194,0.047,44.709
4,13,10,-0.566,-0.424,4.441,5.434,"D3DCOLOR_ARGB(0xff,0xbd,0xbd,0xbd)","D3DCOLOR_ARGB(0xff,0x19,0x19,0x19)",1.000,0.571,0.354,0.418,44.709,0.571,0.354,0.418,44.709,0.888,0.042,0.458,44.709
4,14,11,-0.506,-0.151,4.381,5.375,"D3DCOLOR_ARGB(0xff,0xa7,0xa7,0xa7)","D3DCOLOR_ARGB(0xff,0x27,0x27,0x27)",1.000,0.569,0.129,0.418,44.709,0.569,0.129,0.418,44.709,0.667,0.079,0.741,44.709
5,15,9,-0.602,-0.251,4.511,5.504,"D3DCOLOR_ARGB(0xff,0xdd,0xdd,0xdd)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.457,0.379,0.418,44.709,0.457,0.379,0.418,44.709,0.787,0.222,-0.575,44.709
5,16,12,-0.616,-0.444,4.563,5.556,"D3DCOLOR_ARGB(0xff,0xed,0xed,0xed)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.489,0.478,0.418,44.709,0.489,0.478,0.418,44.709,0.722,0.419,-0.551,44.709
