VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,2.000,10240.000,-160.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.681,0.328
1,1,173.000,10020.000,-119.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.075,0.660,0.356
2,2,2.000,10123.000,-1107.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.681,0.343
3,3,863.000,8349.000,-1379.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.251,0.548,0.554
4,4,280.000,9611.000,-1228.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.075,0.647,0.407
5,5,527.000,8033.000,1.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.616,0.604
6,6,2565.000,6991.000,-7.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.361,0.840
7,7,2118.000,7052.000,-1005.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.449,0.747
8,8,2120.000,6525.000,-782.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.855,0.448,0.787
9,7,2118.000,7052.000,-1005.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.449,0.747
10,9,1214.000,6751.000,-983.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.513,0.753
11,10,1354.000,6290.000,-775.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.376,0.486,0.812
12,9,1214.000,6751.000,-983.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.513,0.753
13,11,821.000,6594.000,71.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.031,0.579,0.784
14,12,1149.000,5853.000,236.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.538,0.859
15,2,2.000,10123.000,-1107.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.681,0.343
16,13,186.000,10122.000,-1070.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.204,0.658,0.343
17,14,2.000,10555.000,-1493.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.681,0.289
18,15,1977.000,8736.000,-1259.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.776,0.455,0.526
19,9,1214.000,6751.000,-983.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.513,0.753
20,7,2118.000,7052.000,-1005.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.449,0.747
21,16,1807.000,10379.000,-1262.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.800,0.469,0.311
22,17,1568.000,8515.000,-142.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.414,0.189
23,18,1235.000,8330.000,-875.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.796,0.476,0.220
24,6,2565.000,6991.000,-7.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.361,0.840
25,8,2120.000,6525.000,-782.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.855,0.448,0.787
26,19,2485.000,6217.000,146.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.988,0.371,0.831
27,9,1214.000,6751.000,-983.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.513,0.753
28,12,1149.000,5853.000,236.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.538,0.859
29,10,1354.000,6290.000,-775.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.376,0.486,0.812
30,7,2118.000,7052.000,-1005.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.449,0.747
31,10,1354.000,6290.000,-775.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.376,0.486,0.812
32,8,2120.000,6525.000,-782.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.855,0.448,0.787
33,6,2565.000,6991.000,-7.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.361,0.840
34,20,2456.000,8482.000,-5.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.992,0.375,0.548
35,7,2118.000,7052.000,-1005.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.449,0.747
36,9,1214.000,6751.000,-983.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.513,0.753
37,5,527.000,8033.000,1.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.616,0.604
38,11,821.000,6594.000,71.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.031,0.579,0.784
39,5,527.000,8033.000,1.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.616,0.604
40,9,1214.000,6751.000,-983.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.513,0.753
