Prim,VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Specular,Fog,TexCoord0[0],TexCoord0[1],TexCoord0[2],TexCoord0[3],TexCoord1[0],TexCoord1[1],TexCoord1[2],TexCoord1[3],TexCoord2[0],TexCoord2[1],TexCoord2[2],TexCoord2[3]
0,0,0,-0.048,-1.779,4.541,5.534,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.681,0.328,0.418,44.709,0.681,0.328,0.418,44.709,-0.113,-0.987,-0.115,44.709
0,1,1,-0.005,-1.839,4.548,5.541,"D3DCOLOR_ARGB(0xff,0x7d,0x7d,0x7d)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.660,0.356,0.418,44.709,0.660,0.356,0.418,44.709,0.689,-0.506,-0.519,44.709
0,2,2,-0.149,-1.898,4.476,5.470,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.681,0.343,0.418,44.709,0.681,0.343,0.418,44.709,0.269,-0.899,0.345,44.709
1,3,3,-0.025,-2.423,4.456,5.450,"D3DCOLOR_ARGB(0xff,0xb5,0xb5,0xb5)","D3DCOLOR_ARGB(0xff,0x0c,0x0c,0x0c)",1.000,0.548,0.554,0.418,44.709,0.548,0.554,0.418,44.709,0.891,-0.034,0.454,44.709
1,4,4,-0.091,-2.057,4.472,5.466,"D3DCOLOR_ARGB(0xff,0xca,0xca,0xca)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.647,0.407,0.418,44.709,0.647,0.407,0.418,44.709,0.997,-0.033,-0.068,44.709
1,5,5,0.009,-2.393,4.589,5.582,"D3DCOLOR_ARGB(0xff,0xae,0xae,0xae)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.616,0.604,0.418,44.709,0.616,0.604,0.418,44.709,0.860,-0.219,-0.460,44.709
2,6,6,0.385,-2.821,4.557,5.550,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.361,0.840,0.418,44.709,0.361,0.840,0.418,44.709,-0.698,-0.037,0.715,44.709
2,7,7,0.219,-2.848,4.488,5.481,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.449,0.747,0.418,44.709,0.449,0.747,0.418,44.709,-0.062,-0.016,0.998,44.709
2,8,8,0.223,-2.982,4.521,5.514,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.448,0.787,0.418,44.709,0.448,0.787,0.418,44.709,-0.232,-0.151,0.961,44.709
3,9,7,0.219,-2.848,4.488,5.481,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.449,0.747,0.418,44.709,0.449,0.747,0.418,44.709,-0.062,-0.016,0.998,44.709
3,10,9,0.031,-2.873,4.524,5.517,"D3DCOLOR_ARGB(0xff,0xa9,0xa9,0xa9)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.513,0.753,0.418,44.709,0.513,0.753,0.418,44.709,0.911,-0.168,0.377,44.709
3,11,10,0.064,-2.997,4.551,5.544,"D3DCOLOR_ARGB(0xff,0x85,0x85,0x85)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.486,0.812,0.418,44.709,0.486,0.812,0.418,44.709,0.714,-0.269,0.646,44.709
4,12,9,0.031,-2.873,4.524,5.517,"D3DCOLOR_ARGB(0xff,0xa9,0xa9,0xa9)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.513,0.753,0.418,44.709,0.513,0.753,0.418,44.709,0.911,-0.168,0.377,44.709
4,13,11,0.031,-2.810,4.624,5.617,"D3DCOLOR_ARGB(0xff,0x9e,0x9e,0x9e)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.579,0.784,0.418,44.709,0.579,0.784,0.418,44.709,0.738,-0.284,-0.612,44.709
4,14,12,0.093,-3.013,4.652,5.645,"D3DCOLOR_ARGB(0xff,0x9d,0x9d,0x9d)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.538,0.859,0.418,44.709,0.538,0.859,0.418,44.709,0.871,-0.356,-0.339,44.709
5,15,2,-0.149,-1.898,4.476,5.470,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.681,0.343,0.418,44.709,0.681,0.343,0.418,44.709,0.269,-0.899,0.345,44.709
5,16,13,-0.086,-1.901,4.470,5.464,"D3DCOLOR_ARGB(0xff,0x86,0x86,0x86)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.658,0.343,0.418,44.709,0.658,0.343,0.418,44.709,0.868,-0.461,0.183,44.709
5,17,14,-0.184,-1.820,4.432,5.426,"D3DCOLOR_ARGB(0xff,0x7a,0x7a,0x7a)","D3DCOLOR_ARGB(0xff,0x02,0x02,0x02)",1.000,0.681,0.289,0.418,44.709,0.681,0.289,0.418,44.709,0.609,-0.256,0.750,44.709
6,18,15,0.218,-2.381,4.423,5.417,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.455,0.526,0.418,44.709,0.455,0.526,0.418,44.709,-0.033,0.158,0.987,44.709
6,19,9,0.031,-2.873,4.524,5.517,"D3DCOLOR_ARGB(0xff,0xa9,0xa9,0xa9)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.513,0.753,0.418,44.709,0.513,0.753,0.418,44.709,0.911,-0.168,0.377,44.709
6,20,7,0.219,-2.848,4.488,5.481,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.449,0.747,0.418,44.709,0.449,0.747,0.418,44.709,-0.062,-0.016,0.998,44.709
7,21,16,0.219,-1.957,4.393,5.387,"D3DCOLOR_ARGB(0xff,0x73,0x73,0x73)","D3DCOLOR_ARGB(0xff,0x0e,0x0e,0x0e)",1.000,0.469,0.311,0.418,44.709,0.469,0.311,0.418,44.709,-0.073,0.287,0.955,44.709
7,22,17,0.383,-1.629,4.434,5.427,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.414,0.189,0.418,44.709,0.414,0.189,0.418,44.709,-0.751,0.287,0.595,44.709
7,23,18,0.204,-1.764,4.384,5.378,"D3DCOLOR_ARGB(0xff,0x75,0x75,0x75)","D3DCOLOR_ARGB(0xff,0x10,0x10,0x10)",1.000,0.476,0.220,0.418,44.709,0.476,0.220,0.418,44.709,-0.053,0.290,0.956,44.709
8,24,6,0.385,-2.821,4.557,5.550,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.361,0.840,0.418,44.709,0.361,0.840,0.418,44.709,-0.698,-0.037,0.715,44.709
8,25,8,0.223,-2.982,4.521,5.514,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.448,0.787,0.418,44.709,0.448,0.787,0.418,44.709,-0.232,-0.151,0.961,44.709
8,26,19,0.362,-3.010,4.595,5.588,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.371,0.831,0.418,44.709,0.371,0.831,0.418,44.709,-0.827,-0.240,0.509,44.709
9,27,9,0.031,-2.873,4.524,5.517,"D3DCOLOR_ARGB(0xff,0xa9,0xa9,0xa9)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.513,0.753,0.418,44.709,0.513,0.753,0.418,44.709,0.911,-0.168,0.377,44.709
9,28,12,0.093,-3.013,4.652,5.645,"D3DCOLOR_ARGB(0xff,0x9d,0x9d,0x9d)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.538,0.859,0.418,44.709,0.538,0.859,0.418,44.709,0.871,-0.356,-0.339,44.709
9,29,10,0.064,-2.997,4.551,5.544,"D3DCOLOR_ARGB(0xff,0x85,0x85,0x85)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.486,0.812,0.418,44.709,0.486,0.812,0.418,44.709,0.714,-0.269,0.646,44.709
10,30,7,0.219,-2.848,4.488,5.481,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.449,0.747,0.418,44.709,0.449,0.747,0.418,44.709,-0.062,-0.016,0.998,44.709
10,31,10,0.064,-2.997,4.551,5.544,"D3DCOLOR_ARGB(0xff,0x85,0x85,0x85)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.486,0.812,0.418,44.709,0.486,0.812,0.418,44.709,0.714,-0.269,0.646,44.709
10,32,8,0.223,-2.982,4.521,5.514,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.448,0.787,0.418,44.709,0.448,0.787,0.418,44.709,-0.232,-0.151,0.961,44.709
11,33,6,0.385,-2.821,4.557,5.550,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.361,0.840,0.418,44.709,0.361,0.840,0.418,44.709,-0.698,-0.037,0.715,44.709
11,34,20,0.408,-2.396,4.519,5.513,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.375,0.548,0.418,44.709,0.375,0.548,0.418,44.709,-0.765,0.067,0.640,44.709
11,35,7,0.219,-2.848,4.488,5.481,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.449,0.747,0.418,44.709,0.449,0.747,0.418,44.709,-0.062,-0.016,0.998,44.709
12,36,9,0.031,-2.873,4.524,5.517,"D3DCOLOR_ARGB(0xff,0xa9,0xa9,0xa9)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.513,0.753,0.418,44.709,0.513,0.753,0.418,44.709,0.911,-0.168,0.377,44.709
12,37,5,0.009,-2.393,4.589,5.582,"D3DCOLOR_ARGB(0xff,0xae,0xae,0xae)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.616,0.604,0.418,44.709,0.616,0.604,0.418,44.709,0.860,-0.219,-0.460,44.709
12,38,11,0.031,-2.810,4.624,5.617,"D3DCOLOR_ARGB(0xff,0x9e,0x9e,0x9e)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.579,0.784,0.418,44.709,0.579,0.784,0.418,44.709,0.738,-0.284,-0.612,44.709
13,39,5,0.009,-2.393,4.589,5.582,"D3DCOLOR_ARGB(0xff,0xae,0xae,0xae)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.616,0.604,0.418,44.709,0.616,0.604,0.418,44.709,0.860,-0.219,-0.460,44.709
13,40,9,0.031,-2.873,4.524,5.517,"D3DCOLOR_ARGB(0xff,0xa9,0xa9,0xa9)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.513,0.753,0.418,44.709,0.513,0.753,0.418,44.709,0.911,-0.168,0.377,44.709
13,41,3,-0.025,-2.423,4.456,5.450,"D3DCOLOR_ARGB(0xff,0xb5,0xb5,0xb5)","D3DCOLOR_ARGB(0xff,0x0c,0x0c,0x0c)",1.000,0.548,0.554,0.418,44.709,0.548,0.554,0.418,44.709,0.891,-0.034,0.454,44.709
14,42,9,0.031,-2.873,4.524,5.517,"D3DCOLOR_ARGB(0xff,0xa9,0xa9,0xa9)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.513,0.753,0.418,44.709,0.513,0.753,0.418,44.709,0.911,-0.168,0.377,44.709
14,43,15,0.218,-2.381,4.423,5.417,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.455,0.526,0.418,44.709,0.455,0.526,0.418,44.709,-0.033,0.158,0.987,44.709
14,44,3,-0.025,-2.423,4.456,5.450,"D3DCOLOR_ARGB(0xff,0xb5,0xb5,0xb5)","D3DCOLOR_ARGB(0xff,0x0c,0x0c,0x0c)",1.000,0.548,0.554,0.418,44.709,0.548,0.554,0.418,44.709,0.891,-0.034,0.454,44.709
15,45,20,0.408,-2.396,4.519,5.513,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.375,0.548,0.418,44.709,0.375,0.548,0.418,44.709,-0.765,0.067,0.640,44.709
15,46,21,0.426,-1.852,4.459,5.453,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.390,0.295,0.418,44.709,0.390,0.295,0.418,44.709,-0.746,0.147,0.649,44.709
15,47,15,0.218,-2.381,4.423,5.417,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.455,0.526,0.418,44.709,0.455,0.526,0.418,44.709,-0.033,0.158,0.987,44.709
16,48,14,-0.184,-1.820,4.432,5.426,"D3DCOLOR_ARGB(0xff,0x7a,0x7a,0x7a)","D3DCOLOR_ARGB(0xff,0x02,0x02,0x02)",1.000,0.681,0.289,0.418,44.709,0.681,0.289,0.418,44.709,0.609,-0.256,0.750,44.709
16,49,13,-0.086,-1.901,4.470,5.464,"D3DCOLOR_ARGB(0xff,0x86,0x86,0x86)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.658,0.343,0.418,44.709,0.658,0.343,0.418,44.709,0.868,-0.461,0.183,44.709
16,50,22,-0.021,-1.869,4.410,5.404,"D3DCOLOR_ARGB(0xff,0xa9,0xa9,0xa9)","D3DCOLOR_ARGB(0xff,0x2b,0x2b,0x2b)",1.000,0.598,0.296,0.418,44.709,0.598,0.296,0.418,44.709,0.605,0.153,0.781,44.709
17,51,23,-0.048,-1.779,4.541,5.534,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.990,0.336,0.418,44.709,0.990,0.336,0.418,44.709,-0.113,-0.987,-0.115,44.709
17,52,24,0.161,-1.641,4.624,5.618,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.910,0.294,0.418,44.709,0.910,0.294,0.418,44.709,0.022,-0.519,-0.855,44.709
17,53,25,-0.005,-1.839,4.548,5.541,"D3DCOLOR_ARGB(0xff,0x7d,0x7d,0x7d)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.968,0.363,0.418,44.709,0.968,0.363,0.418,44.709,0.689,-0.506,-0.519,44.709
18,54,26,0.031,-2.810,4.624,5.617,"D3DCOLOR_ARGB(0xff,0x9e,0x9e,0x9e)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.887,0.785,0.418,44.709,0.887,0.785,0.418,44.709,0.738,-0.284,-0.612,44.709
18,55,27,0.150,-2.755,4.660,5.654,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.824,0.763,0.418,44.709,0.824,0.763,0.418,44.709,0.043,-0.290,-0.956,44.709
18,56,28,0.188,-2.974,4.688,5.681,"D3DCOLOR_ARGB(0xff,0x7a,0x7a,0x7a)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.815,0.844,0.418,44.709,0.815,0.844,0.418,44.709,0.253,-0.242,-0.937,44.709
19,57,29,0.079,-1.588,4.616,5.609,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.990,0.298,0.418,44.709,0.990,0.298,0.418,44.709,-0.255,-0.923,-0.287,44.709
19,58,30,0.140,-1.384,4.634,5.627,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.990,0.235,0.418,44.709,0.990,0.235,0.418,44.709,-0.564,-0.458,-0.687,44.709
19,59,24,0.161,-1.641,4.624,5.618,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.910,0.294,0.418,44.709,0.910,0.294,0.418,44.709,0.022,-0.519,-0.855,44.709
20,60,23,-0.048,-1.779,4.541,5.534,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.990,0.336,0.418,44.709,0.990,0.336,0.418,44.709,-0.113,-0.987,-0.115,44.709
20,61,29,0.079,-1.588,4.616,5.609,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.990,0.298,0.418,44.709,0.990,0.298,0.418,44.709,-0.255,-0.923,-0.287,44.709
20,62,24,0.161,-1.641,4.624,5.618,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.910,0.294,0.418,44.709,0.910,0.294,0.418,44.709,0.022,-0.519,-0.855,44.709
21,63,31,0.156,-2.173,4.651,5.645,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.866,0.533,0.418,44.709,0.866,0.533,0.418,44.709,0.156,-0.412,-0.898,44.709
21,64,32,0.320,-2.726,4.657,5.650,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.759,0.749,0.418,44.709,0.759,0.749,0.418,44.709,-0.625,-0.301,-0.720,44.709
21,65,27,0.150,-2.755,4.660,5.654,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.824,0.763,0.418,44.709,0.824,0.763,0.418,44.709,0.043,-0.290,-0.956,44.709
22,66,27,0.150,-2.755,4.660,5.654,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.824,0.763,0.418,44.709,0.824,0.763,0.418,44.709,0.043,-0.290,-0.956,44.709
22,67,32,0.320,-2.726,4.657,5.650,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.759,0.749,0.418,44.709,0.759,0.749,0.418,44.709,-0.625,-0.301,-0.720,44.709
22,68,33,0.317,-2.957,4.675,5.669,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.763,0.824,0.418,44.709,0.763,0.824,0.418,44.709,-0.691,-0.277,-0.668,44.709
23,69,34,0.476,-1.795,4.539,5.533,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.737,0.320,0.418,44.709,0.737,0.320,0.418,44.709,-0.997,0.059,0.040,44.709
23,70,35,0.383,-1.629,4.434,5.427,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.712,0.199,0.418,44.709,0.712,0.199,0.418,44.709,-0.751,0.287,0.595,44.709
23,71,36,0.426,-1.852,4.459,5.453,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.687,0.303,0.418,44.709,0.687,0.303,0.418,44.709,-0.746,0.147,0.649,44.709
24,72,37,0.361,-1.455,4.577,5.570,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.824,0.200,0.418,44.709,0.824,0.200,0.418,44.709,-0.886,-0.111,-0.451,44.709
24,73,38,0.447,-1.572,4.514,5.507,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.756,0.219,0.418,44.709,0.756,0.219,0.418,44.709,-0.988,0.153,-0.018,44.709
24,74,39,0.390,-1.732,4.608,5.601,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.805,0.334,0.418,44.709,0.805,0.334,0.418,44.709,-0.776,-0.064,-0.627,44.709
25,75,37,0.361,-1.455,4.577,5.570,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.824,0.200,0.418,44.709,0.824,0.200,0.418,44.709,-0.886,-0.111,-0.451,44.709
25,76,39,0.390,-1.732,4.608,5.601,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.805,0.334,0.418,44.709,0.805,0.334,0.418,44.709,-0.776,-0.064,-0.627,44.709
25,77,24,0.161,-1.641,4.624,5.618,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.910,0.294,0.418,44.709,0.910,0.294,0.418,44.709,0.022,-0.519,-0.855,44.709
26,78,24,0.161,-1.641,4.624,5.618,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.910,0.294,0.418,44.709,0.910,0.294,0.418,44.709,0.022,-0.519,-0.855,44.709
26,79,40,0.168,-1.782,4.653,5.646,"D3DCOLOR_ARGB(0xff,0x6c,0x6c,0x6c)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.893,0.365,0.418,44.709,0.893,0.365,0.418,44.709,0.096,-0.231,-0.968,44.709
26,80,41,-0.011,-1.968,4.568,5.561,"D3DCOLOR_ARGB(0xff,0xb8,0xb8,0xb8)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.969,0.425,0.418,44.709,0.969,0.425,0.418,44.709,0.781,-0.092,-0.617,44.709
27,81,33,0.317,-2.957,4.675,5.669,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.763,0.824,0.418,44.709,0.763,0.824,0.418,44.709,-0.691,-0.277,-0.668,44.709
27,82,42,0.422,-2.786,4.606,5.600,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.695,0.743,0.418,44.709,0.695,0.743,0.418,44.709,-0.979,-0.172,0.114,44.709
27,83,43,0.362,-3.010,4.595,5.588,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.699,0.832,0.418,44.709,0.699,0.832,0.418,44.709,-0.827,-0.240,0.509,44.709
28,84,27,0.150,-2.755,4.660,5.654,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.824,0.763,0.418,44.709,0.824,0.763,0.418,44.709,0.043,-0.290,-0.956,44.709
28,85,33,0.317,-2.957,4.675,5.669,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.763,0.824,0.418,44.709,0.763,0.824,0.418,44.709,-0.691,-0.277,-0.668,44.709
28,86,28,0.188,-2.974,4.688,5.681,"D3DCOLOR_ARGB(0xff,0x7a,0x7a,0x7a)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.815,0.844,0.418,44.709,0.815,0.844,0.418,44.709,0.253,-0.242,-0.937,44.709
29,87,26,0.031,-2.810,4.624,5.617,"D3DCOLOR_ARGB(0xff,0x9e,0x9e,0x9e)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.887,0.785,0.418,44.709,0.887,0.785,0.418,44.709,0.738,-0.284,-0.612,44.709
29,88,28,0.188,-2.974,4.688,5.681,"D3DCOLOR_ARGB(0xff,0x7a,0x7a,0x7a)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.815,0.844,0.418,44.709,0.815,0.844,0.418,44.709,0.253,-0.242,-0.937,44.709
29,89,44,0.093,-3.013,4.652,5.645,"D3DCOLOR_ARGB(0xff,0x9d,0x9d,0x9d)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.846,0.859,0.418,44.709,0.846,0.859,0.418,44.709,0.871,-0.356,-0.339,44.709
