VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,0.000,9686.000,-1152.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.476,0.787
1,1,654.000,9794.000,-1009.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.690,0.548,0.766
2,2,0.000,10815.000,-1412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.476,0.573
3,3,781.000,10849.000,-1236.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.761,0.563,0.567
4,2,0.000,10815.000,-1412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.476,0.573
5,1,654.000,9794.000,-1009.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.690,0.548,0.766
6,4,725.000,11949.000,-1368.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.556,0.359
7,5,0.000,11937.000,-1392.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.476,0.361
8,2,0.000,10815.000,-1412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.476,0.573
9,2,0.000,10815.000,-1412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.476,0.573
10,3,781.000,10849.000,-1236.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.761,0.563,0.567
11,4,725.000,11949.000,-1368.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.556,0.359
12,6,1013.000,9951.000,-628.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.607,0.736
13,7,1265.000,10873.000,-805.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.625,0.562
14,3,781.000,10849.000,-1236.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.761,0.563,0.567
15,3,781.000,10849.000,-1236.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.761,0.563,0.567
16,1,654.000,9794.000,-1009.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.690,0.548,0.766
17,6,1013.000,9951.000,-628.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.607,0.736
18,7,1265.000,10873.000,-805.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.625,0.562
19,8,1364.000,11892.000,-1033.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.631,0.370
20,4,725.000,11949.000,-1368.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.556,0.359
21,4,725.000,11949.000,-1368.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.556,0.359
22,3,781.000,10849.000,-1236.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.761,0.563,0.567
23,7,1265.000,10873.000,-805.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.625,0.562
24,9,1202.000,10058.000,-223.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.672,0.720
25,10,1433.000,10937.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.973,0.671,0.555
26,7,1265.000,10873.000,-805.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.625,0.562
27,7,1265.000,10873.000,-805.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.625,0.562
28,6,1013.000,9951.000,-628.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.607,0.736
29,9,1202.000,10058.000,-223.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.672,0.720
30,10,1433.000,10937.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.973,0.671,0.555
31,11,1578.000,11545.000,-376.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.681,0.440
32,8,1364.000,11892.000,-1033.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.631,0.370
33,8,1364.000,11892.000,-1033.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.631,0.370
34,7,1265.000,10873.000,-805.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.625,0.562
35,10,1433.000,10937.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.973,0.671,0.555
36,12,1243.000,10113.000,231.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.737,0.717
37,13,1484.000,11002.000,192.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.736,0.548
38,10,1433.000,10937.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.973,0.671,0.555
39,10,1433.000,10937.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.973,0.671,0.555
40,9,1202.000,10058.000,-223.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.672,0.720
41,12,1243.000,10113.000,231.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.737,0.717
42,13,1484.000,11002.000,192.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.736,0.548
43,14,1636.000,11578.000,190.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.736,0.438
44,11,1578.000,11545.000,-376.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.681,0.440
45,11,1578.000,11545.000,-376.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.681,0.440
46,10,1433.000,10937.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.973,0.671,0.555
47,13,1484.000,11002.000,192.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.736,0.548
48,5,0.000,11937.000,-1392.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.476,0.361
49,4,725.000,11949.000,-1368.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.556,0.359
