Prim,VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Specular,Fog,TexCoord0[0],TexCoord0[1],TexCoord0[2],TexCoord0[3],TexCoord1[0],TexCoord1[1],TexCoord1[2],TexCoord1[3],TexCoord2[0],TexCoord2[1],TexCoord2[2],TexCoord2[3]
0,0,0,-0.150,-1.231,4.339,5.332,"D3DCOLOR_ARGB(0xff,0xa3,0xa3,0xa3)","D3DCOLOR_ARGB(0xff,0x28,0x28,0x28)",1.000,0.476,0.787,0.418,44.709,0.476,0.787,0.418,44.709,0.590,0.124,0.798,44.709
0,1,1,0.039,-1.225,4.315,5.309,"D3DCOLOR_ARGB(0xff,0x80,0x80,0x80)","D3DCOLOR_ARGB(0xff,0x15,0x15,0x15)",1.000,0.548,0.766,0.418,44.709,0.548,0.766,0.418,44.709,0.241,0.135,0.961,44.709
0,2,2,-0.179,-0.926,4.259,5.253,"D3DCOLOR_ARGB(0xff,0x85,0x85,0x85)","D3DCOLOR_ARGB(0xff,0x07,0x07,0x07)",1.000,0.476,0.573,0.418,44.709,0.476,0.573,0.418,44.709,0.582,-0.133,0.802,44.709
1,3,3,0.045,-0.942,4.235,5.229,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.563,0.567,0.418,44.709,0.563,0.567,0.418,44.709,0.067,-0.166,0.984,44.709
1,4,2,-0.179,-0.926,4.259,5.253,"D3DCOLOR_ARGB(0xff,0x85,0x85,0x85)","D3DCOLOR_ARGB(0xff,0x07,0x07,0x07)",1.000,0.476,0.573,0.418,44.709,0.476,0.573,0.418,44.709,0.582,-0.133,0.802,44.709
1,5,1,0.039,-1.225,4.315,5.309,"D3DCOLOR_ARGB(0xff,0x80,0x80,0x80)","D3DCOLOR_ARGB(0xff,0x15,0x15,0x15)",1.000,0.548,0.766,0.418,44.709,0.548,0.766,0.418,44.709,0.241,0.135,0.961,44.709
2,6,4,-0.005,-0.601,4.155,5.149,"D3DCOLOR_ARGB(0xff,0x74,0x74,0x74)","D3DCOLOR_ARGB(0xff,0x0b,0x0b,0x0b)",1.000,0.556,0.359,0.418,44.709,0.556,0.359,0.418,44.709,0.274,0.008,0.962,44.709
2,7,5,-0.195,-0.556,4.190,5.184,"D3DCOLOR_ARGB(0xff,0x7b,0x7b,0x7b)","D3DCOLOR_ARGB(0xff,0x04,0x04,0x04)",1.000,0.476,0.361,0.418,44.709,0.476,0.361,0.418,44.709,0.571,-0.208,0.794,44.709
2,8,2,-0.179,-0.926,4.259,5.253,"D3DCOLOR_ARGB(0xff,0x85,0x85,0x85)","D3DCOLOR_ARGB(0xff,0x07,0x07,0x07)",1.000,0.476,0.573,0.418,44.709,0.476,0.573,0.418,44.709,0.582,-0.133,0.802,44.709
3,9,2,-0.179,-0.926,4.259,5.253,"D3DCOLOR_ARGB(0xff,0x85,0x85,0x85)","D3DCOLOR_ARGB(0xff,0x07,0x07,0x07)",1.000,0.476,0.573,0.418,44.709,0.476,0.573,0.418,44.709,0.582,-0.133,0.802,44.709
3,10,3,0.045,-0.942,4.235,5.229,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.563,0.567,0.418,44.709,0.563,0.567,0.418,44.709,0.067,-0.166,0.984,44.709
3,11,4,-0.005,-0.601,4.155,5.149,"D3DCOLOR_ARGB(0xff,0x74,0x74,0x74)","D3DCOLOR_ARGB(0xff,0x0b,0x0b,0x0b)",1.000,0.556,0.359,0.418,44.709,0.556,0.359,0.418,44.709,0.274,0.008,0.962,44.709
4,12,6,0.182,-1.141,4.326,5.320,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.607,0.736,0.418,44.709,0.607,0.736,0.418,44.709,-0.247,0.109,0.963,44.709
4,13,7,0.226,-0.895,4.250,5.244,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.625,0.562,0.418,44.709,0.625,0.562,0.418,44.709,-0.281,-0.203,0.938,44.709
4,14,3,0.045,-0.942,4.235,5.229,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.563,0.567,0.418,44.709,0.563,0.567,0.418,44.709,0.067,-0.166,0.984,44.709
5,15,3,0.045,-0.942,4.235,5.229,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.563,0.567,0.418,44.709,0.563,0.567,0.418,44.709,0.067,-0.166,0.984,44.709
5,16,1,0.039,-1.225,4.315,5.309,"D3DCOLOR_ARGB(0xff,0x80,0x80,0x80)","D3DCOLOR_ARGB(0xff,0x15,0x15,0x15)",1.000,0.548,0.766,0.418,44.709,0.548,0.766,0.418,44.709,0.241,0.135,0.961,44.709
5,17,6,0.182,-1.141,4.326,5.320,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.607,0.736,0.418,44.709,0.607,0.736,0.418,44.709,-0.247,0.109,0.963,44.709
6,18,7,0.226,-0.895,4.250,5.244,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.625,0.562,0.418,44.709,0.625,0.562,0.418,44.709,-0.281,-0.203,0.938,44.709
6,19,8,0.205,-0.618,4.161,5.155,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.631,0.370,0.418,44.709,0.631,0.370,0.418,44.709,-0.198,-0.098,0.975,44.709
6,20,4,-0.005,-0.601,4.155,5.149,"D3DCOLOR_ARGB(0xff,0x74,0x74,0x74)","D3DCOLOR_ARGB(0xff,0x0b,0x0b,0x0b)",1.000,0.556,0.359,0.418,44.709,0.556,0.359,0.418,44.709,0.274,0.008,0.962,44.709
7,21,4,-0.005,-0.601,4.155,5.149,"D3DCOLOR_ARGB(0xff,0x74,0x74,0x74)","D3DCOLOR_ARGB(0xff,0x0b,0x0b,0x0b)",1.000,0.556,0.359,0.418,44.709,0.556,0.359,0.418,44.709,0.274,0.008,0.962,44.709
7,22,3,0.045,-0.942,4.235,5.229,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.563,0.567,0.418,44.709,0.563,0.567,0.418,44.709,0.067,-0.166,0.984,44.709
7,23,7,0.226,-0.895,4.250,5.244,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.625,0.562,0.418,44.709,0.625,0.562,0.418,44.709,-0.281,-0.203,0.938,44.709
8,24,9,0.284,-1.057,4.350,5.344,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.672,0.720,0.418,44.709,0.672,0.720,0.418,44.709,-0.593,0.061,0.803,44.709
8,25,10,0.319,-0.818,4.275,5.268,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.671,0.555,0.418,44.709,0.671,0.555,0.418,44.709,-0.645,-0.200,0.738,44.709
8,26,7,0.226,-0.895,4.250,5.244,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.625,0.562,0.418,44.709,0.625,0.562,0.418,44.709,-0.281,-0.203,0.938,44.709
9,27,7,0.226,-0.895,4.250,5.244,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.625,0.562,0.418,44.709,0.625,0.562,0.418,44.709,-0.281,-0.203,0.938,44.709
9,28,6,0.182,-1.141,4.326,5.320,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.607,0.736,0.418,44.709,0.607,0.736,0.418,44.709,-0.247,0.109,0.963,44.709
9,29,9,0.284,-1.057,4.350,5.344,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.672,0.720,0.418,44.709,0.672,0.720,0.418,44.709,-0.593,0.061,0.803,44.709
