Prim,VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Specular,Fog,TexCoord0[0],TexCoord0[1],TexCoord0[2],TexCoord0[3],TexCoord1[0],TexCoord1[1],TexCoord1[2],TexCoord1[3],TexCoord2[0],TexCoord2[1],TexCoord2[2],TexCoord2[3]
0,0,0,0.101,0.829,4.130,5.124,"D3DCOLOR_ARGB(0xff,0x74,0x74,0x74)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.576,0.184,0.418,44.709,0.576,0.184,0.418,44.709,-0.732,0.669,-0.131,44.709
0,1,1,0.144,0.715,4.165,5.159,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.635,0.296,0.418,44.709,0.635,0.296,0.418,44.709,-0.987,0.158,-0.032,44.709
0,2,2,0.034,0.797,4.207,5.201,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.745,0.283,0.418,44.709,0.745,0.283,0.418,44.709,-0.586,0.168,-0.793,44.709
1,3,3,0.103,0.714,4.098,5.093,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.460,0.224,0.418,44.709,0.460,0.224,0.418,44.709,-0.766,0.454,0.455,44.709
1,4,4,0.135,0.595,4.123,5.117,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.486,0.327,0.418,44.709,0.486,0.327,0.418,44.709,-0.863,0.113,0.492,44.709
1,5,1,0.144,0.715,4.165,5.159,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.635,0.296,0.418,44.709,0.635,0.296,0.418,44.709,-0.987,0.158,-0.032,44.709
2,6,1,0.144,0.715,4.165,5.159,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.635,0.296,0.418,44.709,0.635,0.296,0.418,44.709,-0.987,0.158,-0.032,44.709
2,7,0,0.101,0.829,4.130,5.124,"D3DCOLOR_ARGB(0xff,0x74,0x74,0x74)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.576,0.184,0.418,44.709,0.576,0.184,0.418,44.709,-0.732,0.669,-0.131,44.709
2,8,3,0.103,0.714,4.098,5.093,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.460,0.224,0.418,44.709,0.460,0.224,0.418,44.709,-0.766,0.454,0.455,44.709
3,9,5,0.042,0.586,4.059,5.053,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.287,0.262,0.418,44.709,0.287,0.262,0.418,44.709,-0.624,0.309,0.718,44.709
3,10,6,0.071,0.486,4.084,5.078,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.319,0.353,0.418,44.709,0.319,0.353,0.418,44.709,-0.704,0.074,0.706,44.709
3,11,4,0.135,0.595,4.123,5.117,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.486,0.327,0.418,44.709,0.486,0.327,0.418,44.709,-0.863,0.113,0.492,44.709
4,12,4,0.135,0.595,4.123,5.117,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.486,0.327,0.418,44.709,0.486,0.327,0.418,44.709,-0.863,0.113,0.492,44.709
4,13,3,0.103,0.714,4.098,5.093,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.460,0.224,0.418,44.709,0.460,0.224,0.418,44.709,-0.766,0.454,0.455,44.709
4,14,5,0.042,0.586,4.059,5.053,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.287,0.262,0.418,44.709,0.287,0.262,0.418,44.709,-0.624,0.309,0.718,44.709
5,15,7,-0.036,0.643,4.035,5.029,"D3DCOLOR_ARGB(0xff,0x99,0x99,0x99)","D3DCOLOR_ARGB(0xff,0x31,0x31,0x31)",1.000,0.224,0.203,0.418,44.709,0.224,0.203,0.418,44.709,-0.238,0.703,0.670,44.709
5,16,5,0.042,0.586,4.059,5.053,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.287,0.262,0.418,44.709,0.287,0.262,0.418,44.709,-0.624,0.309,0.718,44.709
