VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,1582.000,4322.000,-403.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.592,0.282
1,1,1798.000,3259.000,-87.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.165,0.630,0.415
2,2,2116.000,4381.000,-691.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.451,0.502,0.274
3,3,2395.000,2270.000,-321.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.525,0.559,0.541
4,1,1798.000,3259.000,-87.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.165,0.630,0.415
5,4,2111.000,1763.000,-1.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.086,0.646,0.597
6,5,2268.000,3417.000,-410.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.596,0.537,0.403
7,1,1798.000,3259.000,-87.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.165,0.630,0.415
8,3,2395.000,2270.000,-321.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.525,0.559,0.541
9,1,1798.000,3259.000,-87.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.165,0.630,0.415
10,5,2268.000,3417.000,-410.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.596,0.537,0.403
11,2,2116.000,4381.000,-691.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.451,0.502,0.274
12,4,2111.000,1763.000,-1.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.086,0.646,0.597
13,6,2527.000,1318.000,-592.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.506,0.521,0.649
14,3,2395.000,2270.000,-321.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.525,0.559,0.541
15,7,2809.000,1849.000,128.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.949,0.646,0.596
16,6,2527.000,1318.000,-592.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.506,0.521,0.649
17,8,2993.000,1365.000,178.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.953,0.657,0.653
