Prim,VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Specular,Fog,TexCoord0[0],TexCoord0[1],TexCoord0[2],TexCoord0[3],TexCoord1[0],TexCoord1[1],TexCoord1[2],TexCoord1[3],TexCoord2[0],TexCoord2[1],TexCoord2[2],TexCoord2[3]
0,0,0,0.112,-3.496,4.655,5.648,"D3DCOLOR_ARGB(0xff,0xa7,0xa7,0xa7)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.592,0.282,0.418,44.709,0.592,0.282,0.418,44.709,0.932,-0.217,0.292,44.709
0,1,1,0.166,-3.745,4.718,5.712,"D3DCOLOR_ARGB(0xff,0xac,0xac,0xac)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.630,0.415,0.418,44.709,0.630,0.415,0.418,44.709,0.949,-0.193,0.249,44.709
0,2,2,0.199,-3.549,4.616,5.609,"D3DCOLOR_ARGB(0xff,0x83,0x83,0x83)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.502,0.274,0.418,44.709,0.502,0.274,0.418,44.709,0.597,-0.163,0.785,44.709
1,3,3,0.259,-4.079,4.726,5.720,"D3DCOLOR_ARGB(0xff,0x87,0x87,0x87)","D3DCOLOR_ARGB(0xff,0x0a,0x0a,0x0a)",1.000,0.559,0.541,0.418,44.709,0.559,0.541,0.418,44.709,0.428,0.036,0.903,44.709
1,4,1,0.166,-3.745,4.718,5.712,"D3DCOLOR_ARGB(0xff,0xac,0xac,0xac)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.630,0.415,0.418,44.709,0.630,0.415,0.418,44.709,0.949,-0.193,0.249,44.709
1,5,4,0.219,-4.151,4.780,5.773,"D3DCOLOR_ARGB(0xff,0xc6,0xc6,0xc6)","D3DCOLOR_ARGB(0xff,0x04,0x04,0x04)",1.000,0.646,0.597,0.418,44.709,0.646,0.597,0.418,44.709,0.995,-0.035,0.090,44.709
2,6,5,0.238,-3.773,4.674,5.668,"D3DCOLOR_ARGB(0xff,0x6e,0x6e,0x6e)","D3DCOLOR_ARGB(0xff,0x02,0x02,0x02)",1.000,0.537,0.403,0.418,44.709,0.537,0.403,0.418,44.709,0.342,-0.102,0.934,44.709
2,7,1,0.166,-3.745,4.718,5.712,"D3DCOLOR_ARGB(0xff,0xac,0xac,0xac)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.630,0.415,0.418,44.709,0.630,0.415,0.418,44.709,0.949,-0.193,0.249,44.709
2,8,3,0.259,-4.079,4.726,5.720,"D3DCOLOR_ARGB(0xff,0x87,0x87,0x87)","D3DCOLOR_ARGB(0xff,0x0a,0x0a,0x0a)",1.000,0.559,0.541,0.418,44.709,0.559,0.541,0.418,44.709,0.428,0.036,0.903,44.709
3,9,1,0.166,-3.745,4.718,5.712,"D3DCOLOR_ARGB(0xff,0xac,0xac,0xac)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.630,0.415,0.418,44.709,0.630,0.415,0.418,44.709,0.949,-0.193,0.249,44.709
3,10,5,0.238,-3.773,4.674,5.668,"D3DCOLOR_ARGB(0xff,0x6e,0x6e,0x6e)","D3DCOLOR_ARGB(0xff,0x02,0x02,0x02)",1.000,0.537,0.403,0.418,44.709,0.537,0.403,0.418,44.709,0.342,-0.102,0.934,44.709
3,11,2,0.199,-3.549,4.616,5.609,"D3DCOLOR_ARGB(0xff,0x83,0x83,0x83)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.502,0.274,0.418,44.709,0.502,0.274,0.418,44.709,0.597,-0.163,0.785,44.709
4,12,4,0.219,-4.151,4.780,5.773,"D3DCOLOR_ARGB(0xff,0xc6,0xc6,0xc6)","D3DCOLOR_ARGB(0xff,0x04,0x04,0x04)",1.000,0.646,0.597,0.418,44.709,0.646,0.597,0.418,44.709,0.995,-0.035,0.090,44.709
4,13,6,0.268,-4.369,4.747,5.740,"D3DCOLOR_ARGB(0xff,0xb0,0xb0,0xb0)","D3DCOLOR_ARGB(0xff,0x4a,0x4a,0x4a)",1.000,0.521,0.649,0.418,44.709,0.521,0.649,0.418,44.709,0.392,0.400,0.828,44.709
4,14,3,0.259,-4.079,4.726,5.720,"D3DCOLOR_ARGB(0xff,0x87,0x87,0x87)","D3DCOLOR_ARGB(0xff,0x0a,0x0a,0x0a)",1.000,0.559,0.541,0.418,44.709,0.559,0.541,0.418,44.709,0.428,0.036,0.903,44.709
5,15,7,0.372,-4.148,4.769,5.763,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.646,0.596,0.418,44.709,0.646,0.596,0.418,44.709,-0.607,0.155,0.780,44.709
5,16,6,0.268,-4.369,4.747,5.740,"D3DCOLOR_ARGB(0xff,0xb0,0xb0,0xb0)","D3DCOLOR_ARGB(0xff,0x4a,0x4a,0x4a)",1.000,0.521,0.649,0.418,44.709,0.521,0.649,0.418,44.709,0.392,0.400,0.828,44.709
5,17,8,0.408,-4.273,4.791,5.785,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.657,0.653,0.418,44.709,0.657,0.653,0.418,44.709,-0.666,0.291,0.687,44.709
6,18,6,0.268,-4.369,4.747,5.740,"D3DCOLOR_ARGB(0xff,0xb0,0xb0,0xb0)","D3DCOLOR_ARGB(0xff,0x4a,0x4a,0x4a)",1.000,0.521,0.649,0.418,44.709,0.521,0.649,0.418,44.709,0.392,0.400,0.828,44.709
6,19,4,0.219,-4.151,4.780,5.773,"D3DCOLOR_ARGB(0xff,0xc6,0xc6,0xc6)","D3DCOLOR_ARGB(0xff,0x04,0x04,0x04)",1.000,0.646,0.597,0.418,44.709,0.646,0.597,0.418,44.709,0.995,-0.035,0.090,44.709
6,20,9,0.212,-4.288,4.805,5.798,"D3DCOLOR_ARGB(0xff,0xe0,0xe0,0xe0)","D3DCOLOR_ARGB(0xff,0x14,0x14,0x14)",1.000,0.657,0.653,0.418,44.709,0.657,0.653,0.418,44.709,0.981,0.189,0.031,44.709
7,21,3,0.259,-4.079,4.726,5.720,"D3DCOLOR_ARGB(0xff,0x87,0x87,0x87)","D3DCOLOR_ARGB(0xff,0x0a,0x0a,0x0a)",1.000,0.559,0.541,0.418,44.709,0.559,0.541,0.418,44.709,0.428,0.036,0.903,44.709
7,22,6,0.268,-4.369,4.747,5.740,"D3DCOLOR_ARGB(0xff,0xb0,0xb0,0xb0)","D3DCOLOR_ARGB(0xff,0x4a,0x4a,0x4a)",1.000,0.521,0.649,0.418,44.709,0.521,0.649,0.418,44.709,0.392,0.400,0.828,44.709
7,23,7,0.372,-4.148,4.769,5.763,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.646,0.596,0.418,44.709,0.646,0.596,0.418,44.709,-0.607,0.155,0.780,44.709
8,24,10,0.363,-3.768,4.692,5.685,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.630,0.415,0.418,44.709,0.630,0.415,0.418,44.709,-0.465,-0.034,0.885,44.709
8,25,3,0.259,-4.079,4.726,5.720,"D3DCOLOR_ARGB(0xff,0x87,0x87,0x87)","D3DCOLOR_ARGB(0xff,0x0a,0x0a,0x0a)",1.000,0.559,0.541,0.418,44.709,0.559,0.541,0.418,44.709,0.428,0.036,0.903,44.709
8,26,7,0.372,-4.148,4.769,5.763,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.646,0.596,0.418,44.709,0.646,0.596,0.418,44.709,-0.607,0.155,0.780,44.709
9,27,10,0.363,-3.768,4.692,5.685,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.630,0.415,0.418,44.709,0.630,0.415,0.418,44.709,-0.465,-0.034,0.885,44.709
9,28,5,0.238,-3.773,4.674,5.668,"D3DCOLOR_ARGB(0xff,0x6e,0x6e,0x6e)","D3DCOLOR_ARGB(0xff,0x02,0x02,0x02)",1.000,0.537,0.403,0.418,44.709,0.537,0.403,0.418,44.709,0.342,-0.102,0.934,44.709
9,29,3,0.259,-4.079,4.726,5.720,"D3DCOLOR_ARGB(0xff,0x87,0x87,0x87)","D3DCOLOR_ARGB(0xff,0x0a,0x0a,0x0a)",1.000,0.559,0.541,0.418,44.709,0.559,0.541,0.418,44.709,0.428,0.036,0.903,44.709
10,30,5,0.238,-3.773,4.674,5.668,"D3DCOLOR_ARGB(0xff,0x6e,0x6e,0x6e)","D3DCOLOR_ARGB(0xff,0x02,0x02,0x02)",1.000,0.537,0.403,0.418,44.709,0.537,0.403,0.418,44.709,0.342,-0.102,0.934,44.709
10,31,10,0.363,-3.768,4.692,5.685,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.630,0.415,0.418,44.709,0.630,0.415,0.418,44.709,-0.465,-0.034,0.885,44.709
10,32,11,0.320,-3.491,4.619,5.613,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.592,0.281,0.418,44.709,0.592,0.281,0.418,44.709,-0.291,0.021,0.956,44.709
11,33,2,0.199,-3.549,4.616,5.609,"D3DCOLOR_ARGB(0xff,0x83,0x83,0x83)","D3DCOLOR_ARGB(0xff,0x03,0x03,0x03)",1.000,0.502,0.274,0.418,44.709,0.502,0.274,0.418,44.709,0.597,-0.163,0.785,44.709
11,34,5,0.238,-3.773,4.674,5.668,"D3DCOLOR_ARGB(0xff,0x6e,0x6e,0x6e)","D3DCOLOR_ARGB(0xff,0x02,0x02,0x02)",1.000,0.537,0.403,0.418,44.709,0.537,0.403,0.418,44.709,0.342,-0.102,0.934,44.709
11,35,11,0.320,-3.491,4.619,5.613,"D3DCOLOR_ARGB(0xff,0x6b,0x6b,0x6b)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.592,0.281,0.418,44.709,0.592,0.281,0.418,44.709,-0.291,0.021,0.956,44.709
12,36,12,0.202,-4.823,4.634,5.628,"D3DCOLOR_ARGB(0xff,0xdf,0xdf,0xdf)","D3DCOLOR_ARGB(0xff,0xe2,0xe2,0xe2)",1.000,0.120,0.589,0.418,44.709,0.120,0.589,0.418,44.709,0.270,0.848,0.456,44.709
12,37,13,0.349,-4.714,4.708,5.701,"D3DCOLOR_ARGB(0xff,0x92,0x92,0x92)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.259,0.619,0.418,44.709,0.259,0.619,0.418,44.709,-0.581,0.775,-0.247,44.709
12,38,14,0.231,-4.605,4.675,5.668,"D3DCOLOR_ARGB(0xff,0xe4,0xe4,0xe4)","D3DCOLOR_ARGB(0xff,0x34,0x34,0x34)",1.000,0.234,0.519,0.418,44.709,0.234,0.519,0.418,44.709,0.038,0.958,-0.283,44.709
13,39,15,0.355,-4.964,4.665,5.658,"D3DCOLOR_ARGB(0xff,0x78,0x78,0x78)","D3DCOLOR_ARGB(0xff,0x06,0x06,0x06)",1.000,0.139,0.696,0.418,44.709,0.139,0.696,0.418,44.709,-0.534,0.646,0.546,44.709
13,40,16,0.467,-4.829,4.744,5.737,"D3DCOLOR_ARGB(0xff,0x83,0x83,0x83)","D3DCOLOR_ARGB(0xff,0x00,0x00,0x00)",1.000,0.312,0.698,0.418,44.709,0.312,0.698,0.418,44.709,-0.656,0.702,-0.278,44.709
13,41,13,0.349,-4.714,4.708,5.701,"D3DCOLOR_ARGB(0xff,0x92,0x92,0x92)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.259,0.619,0.418,44.709,0.259,0.619,0.418,44.709,-0.581,0.775,-0.247,44.709
14,42,13,0.349,-4.714,4.708,5.701,"D3DCOLOR_ARGB(0xff,0x92,0x92,0x92)","D3DCOLOR_ARGB(0xff,0x01,0x01,0x01)",1.000,0.259,0.619,0.418,44.709,0.259,0.619,0.418,44.709,-0.581,0.775,-0.247,44.709
14,43,12,0.202,-4.823,4.634,5.628,"D3DCOLOR_ARGB(0xff,0xdf,0xdf,0xdf)","D3DCOLOR_ARGB(0xff,0xe2,0xe2,0xe2)",1.000,0.120,0.589,0.418,44.709,0.120,0.589,0.418,44.709,0.270,0.848,0.456,44.709
14,44,15,0.355,-4.964,4.665,5.658,"D3DCOLOR_ARGB(0xff,0x78,0x78,0x78)","D3DCOLOR_ARGB(0xff,0x06,0x06,0x06)",1.000,0.139,0.696,0.418,44.709,0.139,0.696,0.418,44.709,-0.534,0.646,0.546,44.709
15,45,17,0.192,-5.071,4.609,5.602,"D3DCOLOR_ARGB(0xff,0xd4,0xd4,0xd4)","D3DCOLOR_ARGB(0xff,0xc1,0xc1,0xc1)",1.000,0.032,0.694,0.418,44.709,0.032,0.694,0.418,44.709,0.305,0.745,0.594,44.709
