VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,4578.000,9196.000,590.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.329,0.093,0.047
1,1,4898.000,8769.000,704.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.455,0.093,0.144
2,2,4577.000,8463.000,684.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.177,0.185
3,2,4577.000,8463.000,684.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.177,0.185
4,1,4898.000,8769.000,704.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.455,0.093,0.144
5,3,5416.000,8543.000,693.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.773,0.045,0.210
6,2,4577.000,8463.000,684.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.177,0.185
7,3,5416.000,8543.000,693.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.773,0.045,0.210
8,4,5051.000,8224.000,645.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.627,0.102,0.255
9,2,4577.000,8463.000,684.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.184,0.177,0.185
10,4,5051.000,8224.000,645.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.627,0.102,0.255
11,5,6157.000,10846.000,824.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.290,0.178,0.251
12,6,4978.000,8611.000,-229.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.506,0.102,0.173
13,7,4513.000,8405.000,-190.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.171,0.183
14,8,6750.000,10868.000,-221.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.690,0.102,0.256
15,8,6750.000,10868.000,-221.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.690,0.102,0.256
16,7,4513.000,8405.000,-190.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.171,0.183
17,9,6098.000,10748.000,-217.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.227,0.182,0.246
18,8,6750.000,10868.000,-221.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.690,0.102,0.256
19,10,5466.000,8542.000,-162.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.945,0.036,0.212
20,6,4978.000,8611.000,-229.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.506,0.102,0.173
21,11,4547.000,9171.000,-149.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.329,0.794,0.153
22,12,4339.000,9025.000,242.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.004,0.815,0.108
23,13,4513.000,8405.000,-190.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.906,0.158
