VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-804.000,8211.000,-998.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.729,0.742,0.609
1,1,-414.000,7795.000,46.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.641,0.659
2,2,2.000,10006.000,-834.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.586,0.384
3,3,2.000,10122.000,-161.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.586,0.369
4,2,2.000,10006.000,-834.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.586,0.384
5,1,-414.000,7795.000,46.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.641,0.659
6,4,-2479.000,6213.000,146.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.024,0.987,0.858
7,5,-2114.000,6525.000,-782.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.895,0.819
8,6,-2569.000,6860.000,-9.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.004,0.987,0.777
9,7,-2230.000,6682.000,-868.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.898,0.799
10,6,-2569.000,6860.000,-9.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.004,0.987,0.777
11,5,-2114.000,6525.000,-782.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.895,0.819
12,5,-2114.000,6525.000,-782.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.895,0.819
13,8,-1348.000,6290.000,-775.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.553,0.805,0.848
