VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,2469.000,1850.000,-487.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.545,0.695,0.694
1,1,2345.000,2465.000,-318.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.592,0.719,0.596
2,2,1685.000,933.000,119.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.818,0.816
3,2,1685.000,933.000,119.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.818,0.816
4,1,2345.000,2465.000,-318.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.592,0.719,0.596
5,3,1609.000,2181.000,8.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.047,0.774,0.622
6,0,2469.000,1850.000,-487.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.545,0.695,0.694
7,4,3192.000,1003.000,495.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.813,0.842
8,1,2345.000,2465.000,-318.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.592,0.719,0.596
9,5,2362.000,825.000,1430.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.424,0.968,0.849
10,6,2774.000,2243.000,1057.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.835,0.886,0.641
11,4,3192.000,1003.000,495.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.813,0.842
12,2,1685.000,933.000,119.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.818,0.816
13,3,1609.000,2181.000,8.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.047,0.774,0.622
14,7,1675.000,2016.000,843.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.075,0.856,0.649
15,4,3192.000,1003.000,495.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.984,0.813,0.842
