VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,1944.000,9490.000,-482.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.015,0.318
1,1,2081.000,9530.000,-760.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.310,0.154,0.322
2,2,1911.000,9944.000,-762.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.322,0.156,0.231
3,3,2319.000,9779.000,-700.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.718,0.302,0.311
4,4,2402.000,9866.000,-432.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.434,0.309
5,5,2082.000,10034.000,-699.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.769,0.301,0.227
6,6,4505.000,10685.000,-398.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.941,0.425,0.711
7,7,2808.000,9308.000,-401.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.937,0.428,0.444
8,8,4360.000,10591.000,-723.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.863,0.276,0.711
9,1,2081.000,9530.000,-760.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.310,0.154,0.322
10,9,2406.000,8982.000,-768.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.361,0.165,0.446
11,10,2711.000,9203.000,-709.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.306,0.446
12,0,1944.000,9490.000,-482.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.015,0.318
13,11,2218.000,8765.000,-426.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.078,0.015,0.461
14,1,2081.000,9530.000,-760.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.310,0.154,0.322
15,12,1941.000,9924.000,-42.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.447,0.710,0.256
16,13,1944.000,9490.000,-482.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.979,0.318
17,14,1681.000,9898.000,-337.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.075,0.979,0.227
18,15,4019.000,10349.000,-142.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.180,0.823,0.711
19,16,2272.000,8918.000,-57.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.808,0.450
20,17,4282.000,10526.000,-48.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.584,0.637,0.711
21,4,2402.000,9866.000,-432.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.434,0.309
22,18,2194.000,9468.000,-21.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.416,0.717,0.347
23,19,2060.000,9680.000,44.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.424,0.716,0.304
24,20,3859.000,10275.000,-486.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.086,0.979,0.711
25,21,2218.000,8765.000,-426.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.078,0.979,0.461
26,15,4019.000,10349.000,-142.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.180,0.823,0.711
27,19,2060.000,9680.000,44.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.424,0.716,0.304
28,18,2194.000,9468.000,-21.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.416,0.717,0.347
29,13,1944.000,9490.000,-482.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.979,0.318
30,4,2402.000,9866.000,-432.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.434,0.309
31,12,1941.000,9924.000,-42.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.447,0.710,0.256
32,22,2179.000,10253.000,-406.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.937,0.435,0.227
33,10,2711.000,9203.000,-709.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.306,0.446
34,7,2808.000,9308.000,-401.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.937,0.428,0.444
35,4,2402.000,9866.000,-432.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.434,0.309
36,10,2711.000,9203.000,-709.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.306,0.446
37,8,4360.000,10591.000,-723.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.863,0.276,0.711
38,7,2808.000,9308.000,-401.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.937,0.428,0.444
39,23,2622.000,9191.000,-19.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.729,0.612,0.445
40,16,2272.000,8918.000,-57.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.808,0.450
41,18,2194.000,9468.000,-21.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.416,0.717,0.347
42,23,2622.000,9191.000,-19.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.729,0.612,0.445
43,17,4282.000,10526.000,-48.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.584,0.637,0.711
44,16,2272.000,8918.000,-57.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.808,0.450
45,16,2272.000,8918.000,-57.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.808,0.450
46,21,2218.000,8765.000,-426.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.078,0.979,0.461
47,13,1944.000,9490.000,-482.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.979,0.318
48,16,2272.000,8918.000,-57.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.808,0.450
49,15,4019.000,10349.000,-142.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.180,0.823,0.711
50,21,2218.000,8765.000,-426.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.078,0.979,0.461
51,11,2218.000,8765.000,-426.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.078,0.015,0.461
52,9,2406.000,8982.000,-768.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.361,0.165,0.446
53,1,2081.000,9530.000,-760.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.310,0.154,0.322
54,24,4149.000,10419.000,-803.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.404,0.165,0.711
55,11,2218.000,8765.000,-426.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.078,0.015,0.461
56,25,3859.000,10275.000,-486.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.086,0.015,0.711
57,24,4149.000,10419.000,-803.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.404,0.165,0.711
58,9,2406.000,8982.000,-768.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.361,0.165,0.446
59,11,2218.000,8765.000,-426.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.078,0.015,0.461
60,3,2319.000,9779.000,-700.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.718,0.302,0.311
61,10,2711.000,9203.000,-709.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.306,0.446
62,4,2402.000,9866.000,-432.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.434,0.309
63,9,2406.000,8982.000,-768.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.361,0.165,0.446
64,24,4149.000,10419.000,-803.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.404,0.165,0.711
65,10,2711.000,9203.000,-709.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.306,0.446
66,8,4360.000,10591.000,-723.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.863,0.276,0.711
67,10,2711.000,9203.000,-709.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.306,0.446
68,24,4149.000,10419.000,-803.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.404,0.165,0.711
69,7,2808.000,9308.000,-401.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.937,0.428,0.444
70,23,2622.000,9191.000,-19.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.729,0.612,0.445
71,4,2402.000,9866.000,-432.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.434,0.309
72,7,2808.000,9308.000,-401.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.937,0.428,0.444
73,6,4505.000,10685.000,-398.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.941,0.425,0.711
74,23,2622.000,9191.000,-19.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.729,0.612,0.445
75,17,4282.000,10526.000,-48.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.584,0.637,0.711
76,23,2622.000,9191.000,-19.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.729,0.612,0.445
77,6,4505.000,10685.000,-398.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.941,0.425,0.711
78,2,1911.000,9944.000,-762.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.322,0.156,0.231
79,26,1681.000,9898.000,-337.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.075,0.015,0.227
80,0,1944.000,9490.000,-482.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.015,0.318
81,12,1941.000,9924.000,-42.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.447,0.710,0.256
82,14,1681.000,9898.000,-337.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.075,0.979,0.227
83,27,1898.000,10043.000,-63.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.541,0.707,0.205
84,4,2402.000,9866.000,-432.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.434,0.309
85,23,2622.000,9191.000,-19.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.729,0.612,0.445
86,18,2194.000,9468.000,-21.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.416,0.717,0.347
87,18,2194.000,9468.000,-21.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.416,0.717,0.347
88,16,2272.000,8918.000,-57.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.216,0.808,0.450
89,13,1944.000,9490.000,-482.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.979,0.318
90,4,2402.000,9866.000,-432.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.894,0.434,0.309
91,19,2060.000,9680.000,44.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.424,0.716,0.304
92,12,1941.000,9924.000,-42.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.447,0.710,0.256
93,13,1944.000,9490.000,-482.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.979,0.318
94,12,1941.000,9924.000,-42.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.447,0.710,0.256
95,19,2060.000,9680.000,44.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.424,0.716,0.304
96,28,1563.000,11176.000,-745.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.878,0.299,0.008
