VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,810.000,8666.000,-1327.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.800,0.308,0.118
1,1,1165.000,8439.000,-744.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.961,0.195,0.129
2,2,1109.000,8778.000,-759.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.969,0.224,0.078
3,3,0.000,8238.000,-1604.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.493,0.188
4,4,352.000,8231.000,-1550.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.580,0.405,0.181
5,5,336.000,8342.000,-1527.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.588,0.407,0.167
6,0,810.000,8666.000,-1327.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.800,0.308,0.118
7,6,573.000,8406.000,-1456.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.612,0.358,0.158
8,7,951.000,8202.000,-1417.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.769,0.271,0.200
9,8,1475.000,9900.000,-1882.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.753,0.235,0.308
10,9,1923.000,10414.000,-875.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.976,0.109,0.223
11,10,1399.000,10284.000,-1870.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.780,0.252,0.262
12,10,1399.000,10284.000,-1870.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.780,0.252,0.262
13,7,951.000,8202.000,-1417.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.769,0.271,0.200
14,11,532.000,10566.000,-2085.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.576,0.395,0.232
15,12,669.000,7739.000,-714.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.016,0.371,0.704
16,13,807.000,6736.000,-642.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.342,0.782
17,14,871.000,7817.000,-1543.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.102,0.288,0.677
18,15,1070.000,7236.000,-1557.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.247,0.251,0.745
19,14,871.000,7817.000,-1543.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.102,0.288,0.677
20,13,807.000,6736.000,-642.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.342,0.782
21,16,2240.000,8144.000,-674.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.052,0.624
22,17,1786.000,7790.000,-1633.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.773,0.140,0.677
23,18,1861.000,6573.000,-1332.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.784,0.111,0.825
24,17,1786.000,7790.000,-1633.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.773,0.140,0.677
25,15,1070.000,7236.000,-1557.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.247,0.251,0.745
26,19,1298.000,6473.000,-1337.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.195,0.851
