VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,0.000,13402.000,-98.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.490,0.632,0.052
1,1,0.000,13813.000,-547.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.498,0.632,0.013
2,2,433.000,13355.000,-388.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.604,0.056
3,3,360.000,13684.000,-669.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.835,0.599,0.026
4,2,433.000,13355.000,-388.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.604,0.056
5,1,0.000,13813.000,-547.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.498,0.632,0.013
6,4,151.000,13088.000,-1446.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.682,0.102,0.299
7,5,400.000,13102.000,-1311.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.264,0.290
8,6,208.000,13488.000,-1379.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.145,0.048
9,7,394.000,13488.000,-1245.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.878,0.287,0.048
10,6,208.000,13488.000,-1379.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.675,0.145,0.048
11,5,400.000,13102.000,-1311.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.851,0.264,0.290
12,8,307.000,12438.000,-646.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.988,0.563,0.774
13,9,198.000,12582.000,-492.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.875,0.605,0.695
14,10,330.000,12547.000,-679.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.937,0.560,0.712
15,2,433.000,13355.000,-388.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.886,0.604,0.056
16,3,360.000,13684.000,-669.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.835,0.599,0.026
17,11,523.000,13300.000,-1006.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.481,0.214
18,12,418.000,13652.000,-998.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.827,0.439,0.039
19,11,523.000,13300.000,-1006.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.996,0.481,0.214
20,3,360.000,13684.000,-669.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.835,0.599,0.026
21,12,418.000,13652.000,-998.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.827,0.439,0.039
22,3,360.000,13684.000,-669.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.835,0.599,0.026
