VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,3097.000,9979.000,-706.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.651,0.670,0.333
1,1,3322.000,10783.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.933,0.798,0.223
2,2,2859.000,10604.000,-946.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.537,0.643,0.246
3,3,2996.000,11314.000,-164.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.827,0.800,0.121
4,4,2515.000,11054.000,-753.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.614,0.157
5,2,2859.000,10604.000,-946.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.537,0.643,0.246
6,3,2996.000,11314.000,-164.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.827,0.800,0.121
7,2,2859.000,10604.000,-946.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.537,0.643,0.246
8,1,3322.000,10783.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.933,0.798,0.223
9,5,2390.000,11346.000,-584.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.592,0.614,0.102
10,3,2996.000,11314.000,-164.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.827,0.800,0.121
11,6,2723.000,11588.000,-101.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.800,0.768,0.065
12,4,2515.000,11054.000,-753.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.614,0.157
13,7,1959.000,11193.000,-390.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.498,0.089
14,8,2036.000,10748.000,-171.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.043,0.409,0.144
15,9,1869.000,11088.000,88.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.051,0.369,0.076
16,8,2036.000,10748.000,-171.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.043,0.409,0.144
17,7,1959.000,11193.000,-390.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.498,0.089
18,4,2515.000,11054.000,-753.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.614,0.157
19,3,2996.000,11314.000,-164.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.827,0.800,0.121
20,5,2390.000,11346.000,-584.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.592,0.614,0.102
21,7,1959.000,11193.000,-390.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.133,0.498,0.089
22,4,2515.000,11054.000,-753.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.614,0.157
23,5,2390.000,11346.000,-584.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.592,0.614,0.102
24,4,2515.000,11054.000,-753.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.614,0.157
25,8,2036.000,10748.000,-171.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.043,0.409,0.144
26,10,2228.000,10234.000,-407.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.110,0.422,0.236
27,4,2515.000,11054.000,-753.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.341,0.614,0.157
28,10,2228.000,10234.000,-407.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.110,0.422,0.236
29,2,2859.000,10604.000,-946.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.537,0.643,0.246
30,11,2614.000,9641.000,-388.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.075,0.367,0.338
31,2,2859.000,10604.000,-946.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.537,0.643,0.246
32,10,2228.000,10234.000,-407.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.110,0.422,0.236
33,0,3097.000,9979.000,-706.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.651,0.670,0.333
34,2,2859.000,10604.000,-946.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.537,0.643,0.246
35,11,2614.000,9641.000,-388.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.075,0.367,0.338
36,12,3410.000,10001.000,-424.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.961,0.833,0.335
37,1,3322.000,10783.000,-412.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.933,0.798,0.223
38,0,3097.000,9979.000,-706.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.651,0.670,0.333
39,3,2996.000,11314.000,-164.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.827,0.800,0.121
40,13,2983.000,11299.000,701.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.863,0.975,0.082
