VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-664.000,8797.000,-772.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.074,0.630
1,1,-857.000,10545.000,-1093.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.427,0.069,0.824
2,2,0.000,10689.000,-1267.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.004,0.801
3,2,0.000,10689.000,-1267.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.004,0.801
4,3,0.000,8766.000,-904.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.004,0.637
5,0,-664.000,8797.000,-772.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.074,0.630
6,4,-1294.000,9081.000,-42.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.106,0.163,0.568
7,5,-1511.000,8735.000,-250.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.125,0.151,0.644
8,1,-857.000,10545.000,-1093.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.427,0.069,0.824
9,1,-857.000,10545.000,-1093.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.427,0.069,0.824
10,0,-664.000,8797.000,-772.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.074,0.630
11,4,-1294.000,9081.000,-42.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.106,0.163,0.568
12,1,-857.000,10545.000,-1093.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.427,0.069,0.824
13,6,-166.000,9782.000,-632.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.627,0.026,0.949
14,7,0.000,9783.000,-796.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.498,0.004,0.949
15,7,0.000,9783.000,-796.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.498,0.004,0.949
