VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,-620.000,13195.000,127.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.099,0.102
1,1,-1075.000,13014.000,303.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.263,0.171,0.126
2,2,-978.000,12983.000,-79.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.153,0.146
3,2,-978.000,12983.000,-79.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.153,0.146
4,3,-610.000,13045.000,-122.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.396,0.097,0.133
5,0,-620.000,13195.000,127.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.099,0.102
6,1,-1075.000,13014.000,303.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.263,0.171,0.126
7,4,-1442.000,12743.000,-35.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.365,0.215,0.169
8,2,-978.000,12983.000,-79.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.325,0.153,0.146
9,5,-1347.000,9845.000,86.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.016,0.788,0.808
10,6,-1530.000,10351.000,136.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.067,0.818,0.668
11,7,-817.000,9966.000,953.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.243,0.657,0.781
12,7,-817.000,9966.000,953.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.243,0.657,0.781
13,8,-820.000,9090.000,710.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.658,0.976
14,5,-1347.000,9845.000,86.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.016,0.788,0.808
15,9,-1294.000,9081.000,-42.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.020,0.743,0.978
16,5,-1347.000,9845.000,86.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.016,0.788,0.808
17,8,-820.000,9090.000,710.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.658,0.976
18,7,-817.000,9966.000,953.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.243,0.657,0.781
19,10,-895.000,10376.000,1008.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.314,0.671,0.690
20,11,0.000,9974.000,1070.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.514,0.779
21,11,0.000,9974.000,1070.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.514,0.779
22,12,0.000,9088.000,864.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.514,0.977
23,7,-817.000,9966.000,953.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.243,0.657,0.781
24,8,-820.000,9090.000,710.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.658,0.976
25,7,-817.000,9966.000,953.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.243,0.657,0.781
26,12,0.000,9088.000,864.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.514,0.977
27,10,-895.000,10376.000,1008.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.314,0.671,0.690
28,13,-981.000,10900.000,1170.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.412,0.687,0.567
29,14,0.000,10337.000,1125.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.514,0.698
30,15,-1075.000,13014.000,303.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.263,0.704,0.054
31,16,-450.000,13141.000,630.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.384,0.592,0.037
32,17,-1083.000,12893.000,913.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.337,0.705,0.070
33,13,-981.000,10900.000,1170.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.412,0.687,0.567
34,18,-1690.000,10983.000,959.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.196,0.814,0.554
