VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,0.000,14588.000,-1078.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.016,0.125
1,1,222.000,14577.000,-1037.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.659,0.061,0.130
2,2,214.000,14841.000,-939.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.698,0.066,0.006
3,3,0.000,14854.000,-999.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.016,0.001
4,0,0.000,14588.000,-1078.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.016,0.125
5,2,214.000,14841.000,-939.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.698,0.066,0.006
6,4,448.000,14555.000,-897.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.863,0.113,0.140
7,5,434.000,14808.000,-776.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.867,0.130,0.022
8,2,214.000,14841.000,-939.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.698,0.066,0.006
9,6,0.000,14367.000,-1161.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.016,0.229
10,7,231.000,14358.000,-1123.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.686,0.057,0.233
11,1,222.000,14577.000,-1037.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.659,0.061,0.130
12,1,222.000,14577.000,-1037.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.659,0.061,0.130
13,0,0.000,14588.000,-1078.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.016,0.125
14,6,0.000,14367.000,-1161.000,4.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.502,0.016,0.229
