VTX,IDX,Position[0],Position[1],Position[2],Position[3],Diffuse,Normal,TexCoord0[0],TexCoord0[1]
0,0,3233.000,5991.000,410.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.882,0.836,0.027
1,1,3220.000,5808.000,-296.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.855,0.691,0.042
2,2,3735.000,5046.000,-223.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.925,0.743,0.244
3,3,2880.000,5835.000,760.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.514,0.657,0.028
4,0,3233.000,5991.000,410.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.882,0.836,0.027
5,4,3648.000,5089.000,1070.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.859,0.659,0.192
6,5,2183.000,5676.000,555.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.324,0.016
7,3,2880.000,5835.000,760.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.514,0.657,0.028
8,6,2348.000,5002.000,1212.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.403,0.134
9,6,2348.000,5002.000,1212.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.403,0.134
10,7,1885.000,5639.000,-47.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.047,0.185,0.007
11,5,2183.000,5676.000,555.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.324,0.016
12,8,2538.000,5469.000,-955.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.494,0.455,0.048
13,9,1967.000,5436.000,-728.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.098,0.286,0.036
14,10,1824.000,4696.000,-654.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.285,0.151
15,1,3220.000,5808.000,-296.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.855,0.691,0.042
16,8,2538.000,5469.000,-955.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.494,0.455,0.048
17,11,2671.000,4773.000,-950.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.576,0.465,0.208
18,9,1967.000,5436.000,-728.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.098,0.286,0.036
19,7,1885.000,5639.000,-47.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.047,0.185,0.007
20,12,1540.000,4838.000,88.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.195,0.098
21,12,1540.000,4838.000,88.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.195,0.098
22,7,1885.000,5639.000,-47.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.047,0.185,0.007
23,6,2348.000,5002.000,1212.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.403,0.134
24,9,1967.000,5436.000,-728.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.098,0.286,0.036
25,12,1540.000,4838.000,88.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.195,0.098
26,10,1824.000,4696.000,-654.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.285,0.151
27,8,2538.000,5469.000,-955.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.494,0.455,0.048
28,10,1824.000,4696.000,-654.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.285,0.151
29,11,2671.000,4773.000,-950.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.576,0.465,0.208
30,1,3220.000,5808.000,-296.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.855,0.691,0.042
31,11,2671.000,4773.000,-950.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.576,0.465,0.208
32,2,3735.000,5046.000,-223.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.925,0.743,0.244
33,0,3233.000,5991.000,410.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.882,0.836,0.027
34,2,3735.000,5046.000,-223.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.925,0.743,0.244
35,4,3648.000,5089.000,1070.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.859,0.659,0.192
36,3,2880.000,5835.000,760.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.514,0.657,0.028
37,4,3648.000,5089.000,1070.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.859,0.659,0.192
38,6,2348.000,5002.000,1212.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.403,0.134
39,13,3801.000,3949.000,1150.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.561,0.380
40,4,3648.000,5089.000,1070.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.859,0.659,0.192
41,14,3856.000,3725.000,130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.627,0.418
42,2,3735.000,5046.000,-223.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.925,0.743,0.244
43,14,3856.000,3725.000,130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.627,0.418
44,4,3648.000,5089.000,1070.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.859,0.659,0.192
45,15,2636.000,3713.000,1463.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.220,0.399,0.360
46,6,2348.000,5002.000,1212.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.403,0.134
47,13,3801.000,3949.000,1150.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.561,0.380
48,4,3648.000,5089.000,1070.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.859,0.659,0.192
49,13,3801.000,3949.000,1150.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.561,0.380
50,6,2348.000,5002.000,1212.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.403,0.134
51,16,1892.000,3502.000,309.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.216,0.359
52,12,1540.000,4838.000,88.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.195,0.098
53,15,2636.000,3713.000,1463.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.220,0.399,0.360
54,6,2348.000,5002.000,1212.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.298,0.403,0.134
55,15,2636.000,3713.000,1463.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.220,0.399,0.360
56,12,1540.000,4838.000,88.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.195,0.098
57,14,3856.000,3725.000,130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.627,0.418
58,2,3735.000,5046.000,-223.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.925,0.743,0.244
59,17,3060.000,3363.000,-462.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.643,0.432,0.406
60,11,2671.000,4773.000,-950.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.576,0.465,0.208
61,17,3060.000,3363.000,-462.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.643,0.432,0.406
62,2,3735.000,5046.000,-223.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.925,0.743,0.244
63,17,3060.000,3363.000,-462.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.643,0.432,0.406
64,11,2671.000,4773.000,-950.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.576,0.465,0.208
65,18,2162.000,3416.000,-101.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.326,0.374
66,10,1824.000,4696.000,-654.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.285,0.151
67,18,2162.000,3416.000,-101.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.326,0.374
68,11,2671.000,4773.000,-950.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.576,0.465,0.208
69,18,2162.000,3416.000,-101.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.326,0.374
70,10,1824.000,4696.000,-654.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.285,0.151
71,16,1892.000,3502.000,309.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.216,0.359
72,12,1540.000,4838.000,88.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.008,0.195,0.098
73,16,1892.000,3502.000,309.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.216,0.359
74,10,1824.000,4696.000,-654.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.169,0.285,0.151
75,14,3856.000,3725.000,130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.627,0.418
76,19,3681.000,2028.000,4.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.922,0.584,0.675
77,20,3650.000,2015.000,791.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.890,0.493,0.662
78,20,3650.000,2015.000,791.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.890,0.493,0.662
79,13,3801.000,3949.000,1150.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.561,0.380
80,14,3856.000,3725.000,130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.627,0.418
81,13,3801.000,3949.000,1150.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.561,0.380
82,20,3650.000,2015.000,791.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.890,0.493,0.662
83,21,3007.000,2017.000,971.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.265,0.661
84,21,3007.000,2017.000,971.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.265,0.661
85,15,2636.000,3713.000,1463.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.220,0.399,0.360
86,13,3801.000,3949.000,1150.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.792,0.561,0.380
87,15,2636.000,3713.000,1463.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.220,0.399,0.360
88,21,3007.000,2017.000,971.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.294,0.265,0.661
89,22,2658.000,1965.000,84.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.119,0.669
90,22,2658.000,1965.000,84.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.119,0.669
91,16,1892.000,3502.000,309.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.216,0.359
92,15,2636.000,3713.000,1463.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.220,0.399,0.360
93,19,3681.000,2028.000,4.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.922,0.584,0.675
94,14,3856.000,3725.000,130.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.980,0.627,0.418
95,17,3060.000,3363.000,-462.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.643,0.432,0.406
96,18,2162.000,3416.000,-101.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.326,0.374
97,22,2658.000,1965.000,84.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.119,0.669
98,23,3162.000,1914.000,-248.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.467,0.331,0.678
99,23,3162.000,1914.000,-248.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.467,0.331,0.678
100,17,3060.000,3363.000,-462.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.643,0.432,0.406
101,18,2162.000,3416.000,-101.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.326,0.374
102,22,2658.000,1965.000,84.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.027,0.119,0.669
103,18,2162.000,3416.000,-101.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.224,0.326,0.374
104,16,1892.000,3502.000,309.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.035,0.216,0.359
105,17,3060.000,3363.000,-462.000,3.000,"D3DCOLOR_ARGB(0xff,0xff,0xff,0xff)",0.643,0.432,0.406
